"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"General Surgery","1. Diseases of Salivary & Thyroid Glands","99","In emergency, cricothrotomy is done?","Above the cricoids","Below the cricoids","Through the isthmus","Below the thyroid cartilage","B","'B' [AIIMS MAY-2015]",""
"General Surgery","2. Infections","1","Golden period for treatment of open wounds is _____ hours","10","6","12","24","B","'B' [B & L 23rd ed 89 / 24th ed 120]
In the first 4 hours after a breach in an epithelial surface and underlying connective tissues, there is delay in the mobilisation of host defences. This period is called 'decisive period' and during this period bacterial colonisation and established infection can begin. It is logical that prophylactic antibiotics will be most effective during this time.",""
"General Surgery","2. Infections","2","Commonest form of actinomycosis is","Facio cervical","Thoracic","Right iliac fossa","Liver","A","'A' [B & L 23rd ed 110]
Actinomycosis is caused by Actinomyces israelii., an anaerobic, gram positive filamentous organism. Microscopy reveals characteristic sulphur granules in the pus. Penicillin is the drug of choice in treating actinomycosis.",""
"General Surgery","2. Infections","3","Which is not true of carbuncle","Infective gangrene of subcutaneous tissue","Caused by staphylococcus","Diabetics are more prone","Caused by streptococcus","D","'D' [B & L 23rd ed 170 / 24th ed 1325, 1326]

| Infection | Description |
|---|---|
| Boil (Furuncle) | Infection of hair follicle which usually proceeds to suppuration and central necrosis. |
| Carbuncle | Infective gangrene of the subcutaneous tissues, which often occurs in the nape of the neck. There is sloughing of skin and discharge of pus. |
| Stye | Infection of an eyelash follicle |
| Impetigo | Is an intradermal infection. The primary lesion is bulla which soon ruptures to form an erosion and then a crust |",""
"General Surgery","2. Infections","4","Sardonic grin is associated with","Rabies","Tetanus","Bell's palsy","Hemiplegia","B","'B' [B & L 23rd ed 99]
The clinical features of tetanus are:
• Trismus combined with pain and stiffness of neck, abdomen and back.
• Dysphagia
• Anxious expression (risus sardonicus)
• The muscles of neck and trunk become rigid and the back is slightly arched (opisthotonus)
• Respiratory failure",""
"General Surgery","2. Infections","5","Tetanus is caused by","Cl. Tetani","Cl. Welchii","Cl. Edematiens","Cl. Septicum","A","'A' [B & L 23rd ed 99]

| Disease | Organism |
|---|---|
| Tetanus | Clostridium tetani |
| Gas gangrene | Clostridium perfringens (welchii) |
| Pseudomembranous colitis | Clostridium difficile |
| Food poisoning | Clostridium botulinum |",""
"General Surgery","2. Infections","6","Gas gangrene is caused by... principally","Cl. tetani","Cl. welchii","Cl. edematiens","Cl. septicum","B","'B' [B & L 23rd ed 100]
Clinical features of gas gangrene are:
• Foul smelling necrosis of the muscle bundles
• Loss of contractility of the muscle
• The skin becomes dull red, green or black
• Crepitus
• Foaming liver due to gas produced by the organism in liver.",""
"General Surgery","2. Infections","7","Commonest cause of cellulites is","Staphylococcus","Streptococcus","E. coli","Hemophilus","B","'B' [B & L 23rd ed 100]
Cellulitis is caused commonly by B-hemolytic streptococci. They release streptokinase, hyaluronidase and proteases which cause tissue destruction and the spread of infection.

| Organism | Diseases |
|---|---|
| Streptococcus pyogenes (Group A beta-hemolytic) | • Erysipelas • Cellulitis • Necrotising fasciitis • Scarlet fever • Rheumatic fever • Tonsillitis • Glomerulonephritis |
| Streptococcus Viridans (Group A alpha-hemolytic) | • Endocarditis (SABE) • Septicaemia |
| Anaerobic streptococci | • Liver abscess |",""
"General Surgery","2. Infections","8","Foaming liver is seen in","Organophosphorus Poisoning","Actinomycosis","Gas gangrene","Anthrax","C","'C' [B & L 23rd ed 100]",""
"General Surgery","2. Infections","9","Erysipelas is caused by","Staph aureus","Staph albus","Strep pyogenes","Hemophilus","C","'C' [B & L 23rd ed 100]",""
"General Surgery","2. Infections","10","Hyperbaric oxygen is useful in","Tetanus","Gas gangrene","Frostbite","Vincent's angina","B","'B' [B & L 23rd ed 101]",""
"General Surgery","2. Infections","11","Commonest form of anthrax is","Wool sorters disease","Alimentary type","Cutaneous type","None of the above","C","'C' [B & L 23rd ed 110]",""
"General Surgery","2. Infections","12","Malignant pustule occurs in","Melanoma","Cellulitis","Ovarian tumour","Anthrax","D","'D' [B & L 23rd ed 110]",""
"General Surgery","2. Infections","13","Actinomycosis is sensitive to","Streptomycin","Nystatin","Penicillin","Lodox - uridine","C","'C' [B & L 23rd ed 110]",""
"General Surgery","2. Infections","14","Globi is seen in _______ leprosy","Tuberculoid","Lepromatous","Border line","Borderline tuberculoid","B","'B' [B & L 23rd ed 103]",""
"General Surgery","2. Infections","15","Which of the following parts of the body is not affected by leprosy","Testes","Ovary","Nasal mucosa","Axilla","B","'B' [B & L 23rd ed 103]
The unique feature of leprosy is its predilection for the surface of the body and also for the cool part of the surface. Ovary and other deeply placed glands and organs are unaffected.",""
"General Surgery","2. Infections","16","Leonine facies is seen in _________ leprosy","tuberculoid","Borderline","Lepromatous","Borderline tuberculoid","C","'C' [B & L 23rd ed 103]",""
"General Surgery","2. Infections","17","Most commonly affected peripheral nerve in leprosy","Ulnar","Radial","Medial","Lateral Popliteal","A","'A' [B & L 23rd ed 103]",""
"General Surgery","2. Infections","18","Treatment of spreading streptococcal cellulitis is","Erythromycin","Penicillin","Tetracycline","Chloramphenicol","B","'B' [B & L 23rd ed 100]",""
"General Surgery","2. Infections","19","Moon's molars seen with","Syphilis","Leprosy","Amyloidosis","Actinomycosis","A","'A' [B & L 23rd ed 99]",""
"General Surgery","2. Infections","20","Following may be premonitory symptoms of tetanus except","Sleeplessness","Anxious expression","Urinary incontinence","Headache","C","'C' [B & L 23rd ed 99]",""
"General Surgery","2. Infections","21","Following are true of erysipelas except","Streptococcal infection","Contagious and infectious","Margin is distinct","None of the above","B","'B' [B & L 23rd ed 100]",""
"General Surgery","2. Infections","22","The HIV virus can be transmitted by the following routes, except","Homosexual contact","Intact skin","Maternofoetal","Needle prick","B","'B' [B & L 23rd ed 114]",""
"General Surgery","2. Infections","23","Treatment of contaminated wound in Gas Gangrene is","Debridement of wound","Systemic penicillin","Metronidazole Administration","Peroxide dressings","A","'A' [B & L 23rd ed 100, 101]
The basic treatment of contaminated wound in gas gangrene is debridement. Penicillin administration, blood transfusion and hyperbaric oxygen are essential along with debridement.",""
"General Surgery","2. Infections","24","Collar-stud abscess is associated with","M. tuberculosis","M. leprae","C. tetani","None of the above","A","'A' [B & L 23rd ed 101]
The changes occurring in the cervical lymphnodes in tuberculus lymphadenitis are:
• Stage 1 : Lymphnodes remain discrete and tender
• Stage 2 : Matting of the lymphnodes
• Stage 3 : Cold abscess formation

The cold abscess remains deep to the deep cervical fascia and when the deep cervical fascia erodes, pus flows through the small opening into the superficial facia. In this stage the cold abscess can be called as 'collar stud abscess'.",""
"General Surgery","2. Infections","25","Salmonella may cause","Enteric fever","Osteitis","Bacteremia","All of the above","D","'D' [B & L 23rd ed 101]",""
"General Surgery","2. Infections","26","All the following are features of tetanus except:","Vertebral fractures","Survivors recover completely in 4 weeks","Diagnosis is clinical and no microbiological tests are required","Loss of consciousness occurs in moderately advanced case","D","'D' [B & L 23rd ed 99]
The patient never loses consciousness and experiences intense pain.",""
"General Surgery","2. Infections","27","In tetanus infection:","The disease is produced by the endotoxin of bacillus tetani","The toxin travels along the nerves to CNS","A child under the age of one year has an inborn immunity","The spasm does not affect respiration.","B","'B' [DAS 2nd ed 129]",""
"General Surgery","2. Infections","28","Cold abscess is related to","Periapical pathology","Mycobacterium tuberculosis","Streptococcus viridans","None of the above","B","'B' [B & L 23rd ed 101]",""
"General Surgery","2. Infections","29","In bacterial meningitis, CSF has","High protein","High glucose","High lymphocytes","High leukocytes","A","'A' [Harrison 16th ed 2474]",""
"General Surgery","2. Infections","30","After spleenectomy patient becomes more prone to","Gram +ve & anaerobic","Gram -ve & anaerobic","Nonencapsulated","Encapsulated organisms","D","'D' [B & L 25th ed 1110]",""
"General Surgery","2. Infections","31","Saint Antony's Fire is a description given for","Erysipela's","Impetigo","Scarlet fever","Streptococcal tonsillitis","A","'A' [KCET-2012]",""
"General Surgery","2. Infections","32","Following splenectomy in children, which one of the following is recommended?","Hepatitis B vaccination","Typhoid vaccination","Pneumococcal vaccination","Regular follow up","C","'C' [COMED-2012]",""
"General Surgery","2. Infections","33","In Ludwig's angina, the 1st step when patient report to emergency room:","Incision & drainage under local anaesthesia","Tracheostomy under general anaesthesia","Tracheostomy under local anaesthesia","I/V antibiotics and fluids","C","'C' [B & L 23rd ed 103 / 24th ed 773]",""
"General Surgery","2. Infections","34","Which of the following conditions presents with a palpable crepitus?","Anaerobic infections","Streptococcal infections","Surgical emphysema","All of the above","D","'D' [KAR-2013]",""
"General Surgery","2. Infections","35","Pastia's lines in Scarlet are","White lines on the dorsum of the tongue","Seen bilaterally on buccal mucosa","Present in skin folds secondary to capillary fragility","Seen when white and red strawberry tongue occur concomitantly","C","'C' [MCET-14]",""
"General Surgery","2. Infections","36","Which of the following disease is associated with loss of the disc space and vertebral bone?","Multiple myeloma","Tuberculosis","Metastasis","Lymphoma","B","'B' [AIPG-14]",""
"General Surgery","2. Infections","37","Synergistic spreading gangrene is","Caused by clostridia","Caused by a mixed pattern of organisms","Treated by incision and drainage","Treated by antibiotics only","B","'B' [KERALA-2016]",""
"General Surgery","3. Trauma","1","From the scheme given below, choose the appropriate order of priorities in the management of a patient with polytrauma: 1.Control of external haemorrhage 2.Intravenous infusion and transfusion 3.Maintenance of patent airway 4.Relief of a tension pneumothorax. 5.Splinting of fractures.","1,5,2,3,4","3,4,1,2,5","4,1,5,3,2","2,1,5,3,4","B","'B' [B & L 23rd ed 274,276/24th ed 282]
Elements of primary survey are:
• A - Air way management
• B - Breathing and ventilation
• C - Circulation and haemorrhage control
• D - Dysfunction of the central nervous system
• E – Exposure in a controlled environment",""
"General Surgery","3. Trauma","2","The first and the most important measure in the management of severely injured patient is to:","To maintain airway","Start I.V. fluids","Arrest bleeding","Splinting fractures","A","'A' [B & L 23rd ed 274 / 24th ed 282]",""
"General Surgery","3. Trauma","3","Le Forte II facial fracture implies:-","Fracture running through alveolar ridge","Fracture running through midline of the palate and zygomatico maxillary suture","Fracture running through zygomatic process of the maxilla, floor of orbit, root of nose on one side only","Similar to C but on both sides","D","'D' [B & L 23rd ed 601, 602/24th ed 667]
• Lefort I - Guerin fracture
• Lefort II - Pyramidal or subzygomatic fracture
• Lefort III - Craniofacial dysjunction (or) Suprazygomatic fracture",""
"General Surgery","3. Trauma","4","A 20 year old man has hit on the eye with a ball. On examination there is restriction of lateral and upward gaze and diplopia. There is no obvious visible sign of injury to the eye ball, but there is some Enophthalmos, the likely diagnosis is:-","Zygoma fracture","Maxillary fracture","Blow out fracture of the orbit","Injury to lateral rectus","C","'C' [B & L 23rd ed 602 / 24th ed 668]
Characteristics of blow out fracture:
• Rupture of infra orbital plate and herniation of orbital contents in to the maxillary antrum
• Fracture of the orbital floor into the maxillary antrum without the involvement of the orbital rim
• Restriction of lateral and upward movement of eyeball
• Enophthalmos and profound diplopia
• Hanging drop appearance in radiograph",""
"General Surgery","3. Trauma","5","The extent of muscle damage by a bullet depends mainly up on","Size","Density","Velocity","Weight","C","'C' [B & L 23rd ed 282 / 24th ed 293]",""
"General Surgery","3. Trauma","6","Glasgow coma scale does not include","Eye opening","Best verbal response","Blood pressure","Best motor response","C","'C' [B & L 23rd ed 276 / 24th ed 601]",""
"General Surgery","3. Trauma","7","A high rating of 15 on Glasgow coma scale indicates","Patient is stable","Patient is unstable","Patient is conscious","Patient is critical","A","'A' [B & L 23rd ed 276 / 24th ed 601]",""
"General Surgery","3. Trauma","8","A patient with head injury should be carried in which position","Prone","Supine","Lateral","Sitting","C","'C' [B & L 23rd ed 599 / 24th ed 664]
Patients with head injury should be carried in semiprone position and never on their back. This prevents the accumulation of blood and secretions and pulls the tongue forward in semi or unconscious patients.",""
"General Surgery","3. Trauma","9","CPR should have a ratio of chest compression to mouth breathing of","1:4","4:1","2:3","3:2","B","'B' [Check Explanation Below]
Heart rate is 72 and respiratory rate is 16 per minute. So the ratio of chest compression to mouth breathing is 4:1.",""
"General Surgery","3. Trauma","10","Contusion indicates","Tear in skin","Wound due to friction","No break in skin","None of the above","C","'C' [B & L 23rd ed 33 / 24th ed 87,88]
• Laceration – tear in skin
• Abrasion – wound due to friction
• Contusion – Closed blunt injury with visible discolouration",""
"General Surgery","3. Trauma","11","CSF rhinorrhea is from the","Fracture cribriform plate","Fracture petrous temporal bone","Fracture of the posterior wall of the nose","Fracture floor of the floor of the anterior cranial fossa","A","'A' [B & L 23rd ed 600 / 24th ed 667]
CSF rhinorrhoea is the result of a dural tear associated with fracture of the cribriform plate of the ethmoid in Lefort II and III fractures.",""
"General Surgery","3. Trauma","12","Craniofacial dissociation seen in","Lefort-I fracture","Lefort-II fracture","Lefort-III fracture","None of the above","C","'C' [B & L 23rd ed 602 / 24th ed 667]",""
"General Surgery","3. Trauma","13","Nerve injury leading to contusion of the nerve in which continuity of both epineuira sheath and the axons is maintained is known as:","Neurotmesis","Axonotmesis","Neuropraxia","Traumatic neuroma","C","'C' [B & L 24th ed 581]

| Injury Type | Description |
|---|---|
| Neurapraxia | Axons are intact. Spontaneous recovery is complete. |
| Axonotmesis | • Axons divided. • Connective tissue intact. • Wallerian degeneration occurs. • Axons then regenerate slowly. |
| Neurotmesis | Whole nerve severed. Recovery occurs if cut ends are apposed. |",""
"General Surgery","3. Trauma","14","In CPR, chest compressions are done:","On the upper part of sternum","On the xiphisterum","On the middle of the lower part of the sternum","On the left side of the chest","C","'C' [AI-05]",""
"General Surgery","3. Trauma","15","Trauma to the nerve with paresthesia is called:","Neuropraxia","Axonotmesis","Neurotmesis","None","A","'A' [B & L 24th ed 581]",""
"General Surgery","3. Trauma","16","Which of the following statement is true with reference to the Glassgow coma scale:","In the first 24 hr. following a head injury an overall score of 11 indicates a good prognosis","An overall score of less than 9 indicates a poor prognosis","Gives an accurate impression of the neurological status","Cannot be assessed in an unconscious patient","B","'B'",""
"General Surgery","3. Trauma","17","In Glassgow comma scale a patient with V4M4E3 a total score of 15 shows:","A normal patient with full command and normal verbal response and obeys full command","No response with primary stimuli but normal verbal response","A unconscious patient show no reflex to the light and follows verbal command","A unconscious patient shows no verbal response with normal corneal reflex","A","'A' [AIPG-07]
Maximum score in each category indicates best response i.e., 4 + 6 + 5 = 15",""
"General Surgery","3. Trauma","18","Which of the following is the commonest source of extradural haemorrhage?","Middle meningeal artery","Subdural venous sinus","Charcoat's artery","Middle cerebral artery","A","'A' [B & L 24th ed 601]

| Trauma | Artery involved |
|---|---|
| Extradural haemorrhage | Middle miningeal artery |
| Subudural haemorrhage | Communicating veins or cortical bridging veins |
| Intracerebral bleed | Lenticulostriate arteries around basal ganglia |
| Subarachnoid haemorrhage | Rupture of Berry aneurysms |",""
"General Surgery","3. Trauma","19","A person is fully conscious with time, place; Person shows normal speech & responds to verbal commands. In this case, the Glasgow coma scale would be:","3","19","14","15","D","'D' [B & L 24th ed 601]",""
"General Surgery","3. Trauma","20","Algorithm for the stabilization of the severely injured patient:","Treating the hard tissue injuries","Reducing facial bone fractures","Control of haemorrhage","Airway, breathing and circulation","D","'D' [COMEDK-08]",""
"General Surgery","3. Trauma","21","A patient with head injury, Glass Gow coma scale 8, having mid-face fracture, Cyanoses and decreased breathing with frequent apnea and low oxygen management, the method of airway maintenance is?","Oropharyngeal airway","Orotracheal airway","Nasotracheal airway","Cricothyrotomy","D","'D' [AIPG-09]",""
"General Surgery","3. Trauma","22","Wound that does not involve dermis is.","Abrasion","contusion","Laceration","Incision","A","'A' [AIIMS-08]",""
"General Surgery","3. Trauma","23","A patient is in shock with gross comminuted fracture. Immediate treatment is to give","Normal saline intravenously","Ringer's lactate solution intravenously","Blood transfusion","Plasma expanders","B","'B' [KCET-10]",""
"General Surgery","3. Trauma","24","Which is the correct statment regarding facial nerve palsy in temporal bone fractures?","More common with transverse fractures","More common with longitudinal","Facial palsy is of immediate onset","It is always associated with CSF leakage.","A","'A' [AIPG-09]",""
"General Surgery","3. Trauma","25","Sorting a patient of trauma of head injury on basis of need of care and availability of resources","Triage","Emergency care","Definitive care","Hospital care","A","'A' [B & L 25th ed 286]",""
"General Surgery","3. Trauma","26","A vibration perceptile on palpation is","Detritus","Fremitus","Auscultatus","Somnatus","B","'B'",""
"General Surgery","3. Trauma","27","A full thickness wound having length greater than depth caused by a sharp object is described as","Stab wound","Slash wound","Lacerated wound","Incision wound","B","'B'",""
"General Surgery","3. Trauma","28","In Glasgow Coma Scale which of the following is a parameter","Verbal","Eye","Motor","Sensory","D","'D' [B & L 25th ed 308]",""
"General Surgery","3. Trauma","29","In a bus accident which patient is given more priority to shift to the hospital?","Severe haemorrhage with leg fracture","Head injury","Circulation shock","Airway obstruction","A","'A' [Bailey & Love 26th ed 289]",""
"General Surgery","3. Trauma","30","Epidural hematoma is caused by","Middle meningeal artery","Vertebral artery","Anterior cerebral artery","Post cerebellar artery","A","'A' [Bailey & Love 26th ed 315]
Epidural or extradural hematoma (haematoma) is a type of traumatic brain injury (TBI) in which a buildup of blood occurs between the dura mater and the skull. It is typically caused by injury to middle meningeal artery.",""
"General Surgery","4. Cleft Lip and Palate","1","Cleft lip is operated at what age","1 month","6 months","10 weeks","1 year","C","'C' [B & L 23rd ed 589 / 24th ed 648]
Cleft lip repair is commonly performed between 3-6 months of age. Cleft lip is repaired according to the rule of tens i.e., when the baby is 10 lbs, 10 weeks old and has haemoglobin more than 10gm%.",""
"General Surgery","4. Cleft Lip and Palate","2","Cleft palate should be repaired","After 5 years of age","Before 1 year","1 and a half to 2 years","Any time","B","'B' [B & L 23rd ed 589 / 24th ed 648]
Soft palate cleft repair should be done in 6 months and hard palate cleft repair should be done in 15-18 months.",""
"General Surgery","4. Cleft Lip and Palate","3","The ideal time of repair of cleft of hard palate is","At birth","Between 3-6 months of age","Between 12-15 months of age","After 2 years of age","C","'C' [B & L 23rd ed 590 / 24th ed 649]",""
"General Surgery","4. Cleft Lip and Palate","4","The ideal time of repair of cleft lip is:","At birth","Between 3-6 months of age","At 1-1 and a half years of age","At 1 and a half to 2 years of age","B","'B' [B & L 23rd ed 590 / 24th ed 649]",""
"General Surgery","4. Cleft Lip and Palate","5","Which of the following shows lowest frequency of cleft lip and palate?","Negroes","Afghanese","American Indian","Indian","A","'A' [Bhalaji 3rd ed 439]
The negroid race has the least incidence (1 in 2000 births); while the mongoloids have the highest incidence.",""
"General Surgery","4. Cleft Lip and Palate","6","Pierre Robbin syndrome is:","Cleft palate with syndactly","Cleft palate with mand. hypoplasia and respiratory obstruction","Cleft lip with mandibular hypoplasia","Cleft lip","B","'B' [B & L 23rd ed 593]
Pierre Robin's Syndrome is characterized by hypoplasia of mandible, cleft palate and glossoptosis.",""
"General Surgery","4. Cleft Lip and Palate","7","Hynes pharyngoplasty is used to improve a child's","Appearance","Teething","Speech","Feeding","C","'C' [B & L 23rd ed 592 / 24th ed 657]

| Secondary Management | Age |
|---|---|
| Hearing, Prophylactic myringotomy, Regular audiological testing | 6-12 months |
| Speech, Velopharyngeal surgery, Pharyngoplasty, Speech and language therapy | 18 months |
| Orthodontic management, Expansion of maxillary arch | 8-10 years |
| Rhinoplasty | 16+ years |",""
"General Surgery","4. Cleft Lip and Palate","8","Rhinoplasty is usually done at the age (year) of_____ until the nose is fully grown.","6 years","12 years","16 years","25 years","C","'C' [AIIMS-40]",""
"General Surgery","4. Cleft Lip and Palate","9","Unilateral clefts are most common on","Left side","Right side","Median","None of the above","A","'A' [B & L 23rd ed 586 / 24th ed 645]",""
"General Surgery","4. Cleft Lip and Palate","10","Commonest type of cleft lip is","Bilateral","Midline","Combined with cleft palate","Unilateral","D","'D' [B & L 23rd ed 586 / 24th ed 645]",""
"General Surgery","4. Cleft Lip and Palate","11","Speech problems in cleft palate patients are due to","Lisping of tongue","Inability of soft palate to stop air to go nasopharynx","Inability of learning process","All of the above","D","'D' [AIIMS-54]",""
"General Surgery","4. Cleft Lip and Palate","12","Which of the following features is not seen with cleft palate?","Supernumerary tooth at site of cleft","High palatal vault","Bilateral maxillary constriction","Missing lateral incisor.","D","'D' [AIIMS-54]",""
"General Surgery","4. Cleft Lip and Palate","13","Cleft lip is due to non-union of","Maxillary process with MNP","MNP - LNP","MNP - MNP","All of the above","A","'A' [AIIMS-54]
Cleft lip occurs due to failure of fusion of the maxillary process with the medial nasal process.",""
"General Surgery","4. Cleft Lip and Palate","14","A child who suffered from bilateral cleft lip and palate is brought to your clinic. Immediate treatment should be:","Posterior and anterior cross bite correction","Expansion of mand. arch which will cause maxilla to stretch","Speech therapy","Patient counseling and orthognathic surgery","B","'B' [AIIMS-54]",""
"General Surgery","4. Cleft Lip and Palate","15","A prosthetic appliance given to cover the palatal defect in patients with cleft palate is called","Artificial velum","Obturator","Removable prosthetic appliance","None of the above","B","'B' [AIIMS-54]
Obturator is an intra-oral prosthetic device that fills the palatal cleft and provides a false roofing.",""
"General Surgery","4. Cleft Lip and Palate","16","Surgery on the hard palate of a 3 years old child patient may inhibit growth, causing the facial profile to become:","Straight","Elongated","Shortened","More concave","D","'D' [AIPG -03, AIIMS -40]
Due to inhibition of the growth of the maxilla, the facial profile becomes concave.",""
"General Surgery","4. Cleft Lip and Palate","17","The repair of cleft palate is primarily done for:","Correction of speech","Correction of esthetics","Induce growth of maxilla","Induce growth of mandible","A","'A' [PGI-40]",""
"General Surgery","4. Cleft Lip and Palate","18","Symbolic stripped 'Y' classification for cleft lip and palate was given by","Veou","Kernahan","Jackson","Edward H. Angle","B","'B' [Neelima Malik 2nd ed 549]","Requires image: Kernahan Y-strip diagram"
"General Surgery","4. Cleft Lip and Palate","19","If pre-surgical movement of maxillary segments is indicated in a cleft infant, it is done beginning at:","3 to 6 weeks age","10 to 12 weeks of age","3 to 6 months of age","10 to 12 months of age","A","'A' [COMEDK-07]",""
"General Surgery","4. Cleft Lip and Palate","20","The oral cleft problem occurs between the period of:","1st and 2nd week of embryo-fetal life","6th and 10th week of embryo-fetal life","3rd week of fetal life","None of the above","B","'B' [KCET-07]",""
"General Surgery","4. Cleft Lip and Palate","21","Most common occurrence of cleft lip:","Unilateral right","Unilateral left","Bilateral","Medial","B","'B' [PGI-06]",""
"General Surgery","4. Cleft Lip and Palate","22","In cleft lip operation, all the stitches are removed on:","2nd day","4th day","10th day","14th day","B","'B' [S. Das Surgery 3rd ed 597]
Stitches are removed on 5th post-operative day.",""
"General Surgery","4. Cleft Lip and Palate","23","Patient having cleft lip and palate. The difficulty in speech is due to:","Incomplete lip seal","Space between teeth","Space between nasal floor and mouth inability to maintain air seal","None of the above","C","'C' [NEET-2013]",""
"General Surgery","4. Cleft Lip and Palate","24","Cleft lip is treated by all of the following methods except:","Von-Langenback","Millard's method","Tannison rindal method","Le-mesurier","A","'A' [AIIMS-2012]",""
"General Surgery","4. Cleft Lip and Palate","25","Primary bone graft in cleft palate patient?","6 month - 1 year","< 2 year","2-4 year","4-5 year","C","'C' [PGI JUNE-13]",""
"General Surgery","4. Cleft Lip and Palate","26","Cleft in facial region;","Non fusion of ectodermal process","Absence or deficiency of mesodermal mass or other failure to penetrate ectodermal grooves","Covering of mesoderm on both sides by ectodermal process","Failure of endodermal structures to fuse in midline","B","'B' [AIIMS MAY-14]",""
"General Surgery","4. Cleft Lip and Palate","27","According to Veau's classification of cleft lip and palate, isolated cleft palate falls under?","Group I","Group II","Group III","Group IV","B","'B' [PGI DEC-2011]",""
"General Surgery","4. Cleft Lip and Palate","28","Inheritance of cleft lip and palate is","Monogenic","Polygenic","Multifactorial","Sex linked","C","'C' [AIIMS NOV-14]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","1","Cystic hygroma is","A form of hydrocele","A branchial cleft cyst","Salivary gland enlargement","Lymphangioma","D","'D' [B & L 23rd ed 700 / 24th ed 771]
Cystic hygroma is the cavernous lymphangioma (lymphangiectasia), which manifests in the neck of neonates or occasionally present at birth.",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","2","Dermoid cyst is a form of","Cystic hamartoma","Cystic teratoma","Choriostoma","Hamartoma","B","'B' [B & L 23rd ed 149]
Four types of dermoids: Teratomatous, Sequestration, Implantation and Tubulo dermoid.",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","3","Which of the following statements about a basal cell carcinoma of the skin is TRUE?","It is also called a marjolin's ulcer.","It metastases to the regional lymph nodes","It is radiosensitive","None of the above statements is true","C","'C' [B & L 23rd ed 181 / 24th ed 632]
Basal cell carcinoma (Rodent ulcer) grows slowly, invades deeper structures and rarely metastasises. It is highly radiosensitive.",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","4","In staging of Hodgkin's lymphoma, bilateral involvement of lymph nodes on either side of diaphragm is","State-I","State-II","Stage-III","Stage-IV","B","'B' [B & L 23rd ed 175]

| Stage | Description |
|---|---|
| Stage I | Involvement of single lymphnode region |
| Stage II | Involvement of two or more lymphnode region on the same side of the diaphragm. |
| Stage III | Involvement of lymphnode regions on both sides of the diaphragm |
| Stage IV | Multiple or disseminated foci of involvement |",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","5","A soft, cystic, fluctuant swelling in a child's neck which is brilliantly translucent is most likely","Sternomastoid tumour","Cystic hygroma","Branchial cyst","Cold abscess","B","'B' [B & L 23rd ed 700 / 24th ed 771]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","6","Potato tumor is a tumor of","Carotid body","Sternocleidomastoid muscle","Carotid sinus","None of the above","A","'A' [S. Das 2nd ed 149]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","7","All are true regarding sebaceous cyst except","Is classified as an epidermoid cyst.","Only occurs on the face and scalp.","Can, if ulcerated, becomes a sebaceous horn","Characteristically displays a punctum","B","'B' [B & L 23rd ed 173 / 24th ed 415]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","8","All the following are congenital cysts except","External angular dermoid cyst","Sebaceous cyst","Branchial cyst","Thyroglossal cyst","B","'B' [B & L 23rd ed 156 / 24th ed 207]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","9","Ranula is a condition which can occur in:","Pre auricular area","Medial angle of orbit","Nasolabial angle","Floor of the mouth","D","'D' [B & L 23rd ed 657]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","10","Basal cell carcinomas:","Usually metastasize to regional lymph nodes","Common on the face and neck","Common in females","Radio resistant","B","'B' [B & L 23rd ed 180,181/24th ed 632]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","11","In a middle aged female swelling that presents in the midline of neck is most likely originating from:","Larynx","Trachea","Thyroid","Hyoid","C","'C' [AIIMS -2K]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","12","'Pott's puffy' tumour is:","A malignant tumour","An extradural abscess","A tumour or pituitary gland","An adrenal gland tumour","B","'B' [AIIMS -02]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","13","Cock's peculiar tumour is","Infected squamous cell carcinoma","Infected basal cell carcinoma","Infected, ulcerated Sebaceous cyst","Infected ulcerated dermoid cyst","C","'C' [KAR -03]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","14","What is sternocleidomastoid tumor?","Hematoma of sternocleidomastoid muscle","Malignancy of sternocleidomastoid muscle","Lymphnodes related to the muscle","Benign tumor of the said muscle","D","'D' [KAR -2K]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","15","The type of ultraviolet radiation (UV) that is known to induce skin cancer is","UV - A","UV - B","UV - C","UV - D","B","'B' [COMED-2012]",""
"General Surgery","5. Swellings, Ulcers and Tumors of Head and Neck","16","Midline swelling is seen in all except:","Blind brachial cyst","Thyroglossal cyst","Submental lymphadenopathy","Substernal cyst","A","'A' [AIPG -98]",""
