Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,6. ENDODONTIC SURGERY,3,Which surgical procedure is indicated after the endodontic treatment is completed of a mandibular molar with periodontal and carious involvement of the bifurcation:,Hemisection,Fenestration,Root amputation,Apical curettage,a,A' [Grossman 12th ed 434]
Endodontics,6. ENDODONTIC SURGERY,4,Apicoectomy is indicated in which one of the following cases?,Persistent positive results of root canal culture for microorganisms,Incomplete obturation in apical part of root canal with persistent infection,Fracture of apical one-third area of root in a vital asymptomatic tooth,Presence of a minor pulp stone in pulp chamber,b,B' [Grossman 12th ed 391]
Endodontics,6. ENDODONTIC SURGERY,5,Which of the following are complications of Periapical surgery,Paresthesia,Ecchymoses,Stitch abscess,All of the above,d,"D' [Grossman 12th ed 410]
Paraesthesia is more common in mandible, especially in the premolar and molar region (due to accidental penetration of mandibular canal). Stitch abscess may develop due to local laceration of tissue or accumulation of debris at site of suturing or tying of knot in the line of incision. Ecchymosis results in skin discoloration from extravasation and breakdown of blood adjacent to surgical area"
Endodontics,6. ENDODONTIC SURGERY,6,Endodontic surgery should be avoided in:,Short rooted teeth,Teeth with periodontal disease,Lingual surface of mandibular molars,All of above,d,"D' [Grossman 12th ed 392]
Because of inaccessibility and difficulty to gain access to surgical site through dense layers of bone, endodontic surgery should be avoided on lingual surfaces of molars or external oblique ridge of mandible"
Endodontics,6. ENDODONTIC SURGERY,7,Draining abscess by cutting a window in the bone is,Hiltons method,Trephination,Marsupialisation,Odontectomy,b,"B' [Grossman 12th ed 415/Ingle 6th ed 1234]
Trephination is a type of artificial fistulation in which, the cortical bone is perforated to release the build up pressure and exudate around root apex to release pain."
Endodontics,6. ENDODONTIC SURGERY,8,"RCT treated roots with well filled post and core, has a periapical radiolucency",Apicoectomy and retrograde filling with silver,Periapical curettage & apicoectomy,Retreat and filling with guttapercha,None of above,a,A' [Grossman 12th ed 391]
Endodontics,6. ENDODONTIC SURGERY,9,"In Periapical surgery, which of the following flap designs limit access to the operative site and often heals with scar formation",Envelope,Figure of eight,Rectangular,Semilunar,c,"C' [Grossman 12th ed 401]
Inaccessibility, excessive hemorrhage, delayed healing, and scarring are the disadvantages of semilunar incision. It is used when no underlying periodontal problems are present i.e when there is no extensive bone loss. Inspite of its disadvantages, it is most oftenly used in routine apical surgery because of high healing potential and minimal bone damage associated with semilunar flap."
Endodontics,6. ENDODONTIC SURGERY,10,The prognosis of the broken instrument in root canal is good when,Instrument is less than 20 nos.,Instrument is lodged in the bone beyond the apical area,Instrument obliterates apical third of the canal,Instrument is in middle,c,"C' [Grossman 12th ed 487]
In such cases, the instrument is removed by apicoectomy followed by retrograde filling"
Endodontics,6. ENDODONTIC SURGERY,11,Apicoectomy is contraindicated in,Extensive bone loss,Over filled root canals,Lateral perforation at apical third,Is not contraindicated,a,A' [Grossman 12th ed 392]
Endodontics,6. ENDODONTIC SURGERY,12,Replacement resorption is characterized by:,Pain,Apical pathosis,Acute inflammation,Tooth ankylosis,d,D' [Grossman 12th ed 387]
Endodontics,6. ENDODONTIC SURGERY,13,Apical surgery is least indicated in,Maxillary molars,Maxillary premolars,Mandibular molars,Mandibular premolars.,d,"D' [Grossman 12th ed 392]
Apical surgery is done with great caution on mandibular bicuspids because of their proximity to the mental foramen."
Endodontics,6. ENDODONTIC SURGERY,14,Most of the failures of replanted tooth are due to,Replacement resorption,Surface resorption,External resorption,Internal resorption,c,"C' [Grossman 12th ed 442]
External inflammatory resorption is the most frequent failure to replantation. Three differnet types of resorption have been identified: surface, inflammatory, and replacement (ankylotic resorption). Replacement resorption refers to resorption of the root surface and its substitution by bone, resulting in ankylosis."
Endodontics,6. ENDODONTIC SURGERY,15,Which of the following directly affects the prognosis of an avulsed tooth:,Length of time the tooth was out of the mouth,Condition of the dental socket when the tooth was replanted,Whether necrotic cementum was removed from the root,Whether the pulp was extirpated to prevent Periapical inflammation,a,"A' [Grossman 12th ed 380]
Though 'B', 'C', 'D' also influences the prognosis of avulsed tooth, extra oral time is the most critical factor affecting prognosis. Prolonged extraoral time causes dehydration and death of root surface cells and impairment of viability of periodontal ligament."
Endodontics,6. ENDODONTIC SURGERY,16,"When performing endodontic surgery on anterior crowned teeth, the ideal surgical flap design is a",Full thickness rectangular flap,Full thickness triangular flap,Submarginal Leubke-Ochsenbein flap,Submarginal semilunar flap,c,"C' [Grossman 12th ed 403]
The submarginal scalloped rectangular flap is also called as Leubke- Ochsenbein flap. This flap is ideal for crowned teeth when crown margins after surgery are an esthetic concern."
Endodontics,6. ENDODONTIC SURGERY,17,The flap design ideal for root end surgical procedures in upper anterior teeth with ceramic crowns is the,Semilunar flap,Trapezoidal flap,Triangular flap,Submarginal scalloped flap,d,D' [Grossman 12th ed 403]
Endodontics, ENDODONTIC SURGERY,18,Root-end preparation during microsurgical endodontics is done by ultrasonic:,High power with water coolant,High power without water coolant,Low power with water coolant,Low power without water coolant,c,"C' [Ingle 7th ed 818]
The use of ultrasonic tips is currently considered the standard of practice in surgical endodontics. They prepare deeper and cleaner preparations and address anatomical difficulties. But they can cause root crack formation. Lower power settings reduce the number of micro-fractures. They should always be used with water coolant. They normally have irrigation port near the tip or along the shaft."
