Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Ceramics & Miscellaneous,11,Machineable glass ceramic is:,Cerestore,Decor MGC,Infusium,Leucite,B,"'B' [Phillips' 11th ed 681/ 12th ed 445]

| Castable or machinable glass ceramic | Dicor, Dicor MGC. |
|---|---|
| Glass infiltrated ceramic | • Inceram (Al₂O₃)
• Inceram spinel (MgAL₂O₄) |
| Injection molded ceramic | • IPS Empress
• IPS Empress 2 |
| Shrink free ceramic | Cerestore |",
Dental Ceramics & Miscellaneous,12,Porosity in porcelain can be prevented by:,Thoroughness of condensation,High firing temperature,Rapidity of firing,All of the above,A,"'A' [Phillips' 11th ed 671/ 12th ed 433]
Thorough condensation helps in producing dense packing. Dense packing of porcelain powder decreases porosity and firing shrinkage.",
Dental Ceramics & Miscellaneous,13,Which is not present in porcelain:,Silica,Feldspar,Calcium carbonate,Amorphous material,D,"'D' [Phillips' 11th ed 667/ 12th ed 430]
Porcelain is a vitreous ceramic consisting of silica, soda, or potash, feldspar, pigments, opacifiers, and glass modifiers. Glass modifiers decrease sintering temperature and increase the coefficient of thermal expansion and solubility of porcelain.",
Dental Ceramics & Miscellaneous,14,Which of the following is the main constituent of porcelain:,Feldspar,Kaolin,Quartz,Clay,A,"'A' [Phillips' 11th ed 668/ 12th ed 430]
Feldspar when melted forms a crystalline phase called leucite and a glass phase that will soften and flow leucite has high coefficient of thermal expansion and is the basic glass former.",
Dental Ceramics & Miscellaneous,15,Flux used in dental ceramics is:,Alumina,Silica,Kaolin,Boric oxide,D,'D' [Phillips' 11th ed 670/ 12th ed 389],
Dental Ceramics & Miscellaneous,16,The best tissue tolerated material for crown and bridge:,Highly polished porcelain,Highly polished acrylic,Highly glazed porcelain,Highly polished metal,C,'C' [Phillips' 12th ed 438],
Dental Ceramics & Miscellaneous,17,Opaque porcelain:,is Feldspathic glass,contains opacifier like zirconium and titanium oxide,Not used to mask the colour of the cement used in placing of restoration,"Used to produce the characteristic translucence, which is an inherent aspect of the incisal edge in natural teeth",B,"'B' [Phillips' 11th ed 670/ 12th ed 432]
Feldspar is colourless. Oxides of tin, zirconium and titanium are added to produce opaque porcelains to mask the colour of the metal.",
Dental Ceramics & Miscellaneous,18,Dental porcelains are crystalline materials of:,Rubber,Plastic,Organic substances,Glass,D,'D' [Phillips' 11th ed 667/ 12th ed 429],
Dental Ceramics & Miscellaneous,19,Dicor restoration is:,Two coloured restorations,Heat pressed ceramics,Castable ceramics,None of the above,C,'C' [Phillips' 11th ed 681/ 12th ed 445],
Dental Ceramics & Miscellaneous,20,The main purpose of adding metallic oxides in ceramic is:,Colour matching,Transparency,Opacity,None,A,"'A' [Phillips' 11th ed 670/ 12th ed 432]
The main purpose of adding metallic oxides to porcelain is for shade matching to simulate natural tooth",
Dental Ceramics & Miscellaneous,21,Porcelain binds to metal in PFM crown by:,Metallic bind,Mechanical bond,Chemical bond,B and C,D,"'D' [Phillips' 11th ed 678/ 12th ed 437]
Porcelain binds to metal in metal ceramic restorations by mechanical interlocking and chemical bonding. Mechanical interlocking is provided by proper wetting of the metal surface by porcelain.

The adherent metallic oxides, which are formed during the degassing cycle form a good chemical bond with porcelain.

Tin oxide and Indium oxide are formed from precious metal alloys while chromium oxide is formed from base metal alloys.",
Dental Ceramics & Miscellaneous,22,Coefficient of thermal expansion of metal-ceramic alloys is:,Same as porcelain,More than porcelain,Less than porcelain,More than or equal to porcelain but not less,D,"'D' [Phillips' 11th ed 674/ 12th ed 435]
Co-efficient of thermal expansion of alloy should be close or nearly same as that of porcelain. The metal should have slightly higher value, to avoid residual tensile stresses.",
Dental Ceramics & Miscellaneous,23,In method of firing:,A shorter firing period at a higher temperature is considered better,A large time period at a lower temperature is preferred.,A long firing period at a very high temperature is preferred,A short firing period at a very low temperature is preferred,B,"'B' [Phillips' 11th ed 671, 672/ 12th ed 433]
Firing at a lower temperature for a long time reduces the porosity and gives a life like appearance. Also increase in number of firings increases the porosity.

Vacuum firing or diffusible gas like helium, hydrogen firing reduces the porosity.",
Dental Ceramics & Miscellaneous,24,Stage recognized in the firing of dental porcelain given below. Which of state is not correct?,Cold stage bisque,Low bisque,Medium bisque,High bisque,A,'A' [Vimal Sikri 1st ed 447],
Dental Ceramics & Miscellaneous,25,Quartz in Dental porcelain is,Strengthener,Binder,Pigment,Crack minimizer,A,'A' [Vimal Sikri 1st ed 440],
Dental Ceramics & Miscellaneous,26,The maximum shrinkage during firing process in ceramic occurs in:,High Bisque stage,Low Bisque stage,Medium Bisque stage,Fusion stage,C,"'C' [Hussain 1st ed 211]
Refer to synopsis",
Dental Ceramics & Miscellaneous,27,Which of the following bur is used in the preparation of cavity restored with porcelain fused to metal?,Carbide bur,Diamond bur,Stainless steel bur,Diamond bur for porcelain and carbide bur for metal,D,"'D' [Sturdevant 4th ed 341, 342]",
Dental Ceramics & Miscellaneous,28,Super abrasive is,Sand,Silicon carbide,Diamond,Aluminum oxide,C,'C' [Phillips' 11th ed 368/ 12th ed 244],
Dental Ceramics & Miscellaneous,29,The first porcelain tooth material was introduced by,DeChemant,Ash,Plateau,McClean,A,"'A' [Phillips' 11th ed 660/ 12th ed 424]
The first porcelain tooth material was patented in 1789 by Dechemant in collaboration with a French pharmacist Duchtaeau. In 1808 Fonzi, an Italian dentist invented 'terrometallic' porcelain tooth. In 1817, Planteau, a French dentist introduced porcelain teeth to the United States. In 1817, Peale developed a baking process in Philadelphia. Later Ash improved version of the porcelain tooth in 1837 in England. In Germany, Pfaff developed a technique to make impressions of mouth using plaster of Paris in 1756. In 1903 Dr. Charles Land introduced one of the first ceramic crowns to dentistry. The first commercial porcelain was developed by Vita Zahn-Fabrik in 1963.",
Dental Ceramics & Miscellaneous,30,The preferred material for repair of fractured denture base is,Chemically cure resin,Heat cure resin,Light cure resin,Vinyl resin,A,"'A' [COMEDK-10]
The advantage of using chemically activated resins for repairing is that they can be polymerized at room temperature.",
Dental Ceramics & Miscellaneous,31,Chemical method of strengthening porcelain involves,exchange of aluminium and sodium ions,exchange aluminium and potassium ions,exchange of sodium and potassium ions,none of the above,C,'C' [Phillips' 11th ed 701/ 12th ed 441],
Dental Ceramics & Miscellaneous,32,Dispersion of crystalline phase to strengthen ceramics results in,dispersed porcelain,glazed porcelain,aluminium porcelain,all of the above,C,'C' [Phillips' 11th ed 702/ 12th ed 441],
Dental Ceramics & Miscellaneous,33,"Compared with dental alloys, CERAMICS show",High ductility,High hardness,Low esthetic value,Susceptibility to brittle fracture,D,'D' [Phillips' 11th ed 699/ 12th ed 439],
Dental Ceramics & Miscellaneous,34,"For porcelain fused to metal crown, the porcelain should have?",High fusion expansion,High fusion temperature,Linear coefficient of thermal expansion less than that of metal,Linear coefficient of thermal expansion more than that of metal,C,"'C' [Phillips' 10th ed 602, 603/ 12th ed 435]",
Dental Ceramics & Miscellaneous,35,Greening occurring when porcelains are fired on silver free alloys may be attributed to,Vaporization of silver from the walls of contaminated furnaces,Surface diffusion of silver from the marginal metal,More rapid silver diffusion in sodium containing glass,Silver ionization by porcelains with high oxygen potential,A,"'A' [Phillips' 11th ed 583, 584]
The disadvantage of silver containing alloys is the potential for porcelain discoloration when silver vapour is released and deposited on the porcelain surface.

Silver free alloys contain no silver and do not contribute to porcelain discoloration. So the greening is due to the silver vapours of previously fabricated restorations.",
Dental Ceramics & Miscellaneous,36,The ideal temperature of water bath for softening fluid wax is about,51 to 54 degree F,51 to 54 degree C,70 to 75 degree F,70 to 75 degree C,B,"'B' [Journal of Prosthetic dentistry, 101(4), 279-282]",
Dental Ceramics & Miscellaneous,37,Electrolyte used for plating copper dies is:,Ionic copper,Copper cyanide,Silver cyanide,Acidic copper sulphate,D,"'D' [www.i-chem.com]
Copper sulfate acidified with sulfuric acid is preferred electrolyte for electroplating of copper dies.",
Dental Ceramics & Miscellaneous,38,Crocus cloth is -,Emery,Garnet,Pumice,Rouge,D,"'D' [Check Explanation Below]
Crocus cloth is a very fine (1200 grade) jeweller rouge (iron oxide) impregnated clock for polishing of nicks, rough spots and burrs. It is very gentle but effective for polishing hard metal parts.",
Dental Ceramics & Miscellaneous,39,The melting point of titanium is _____ degree celsius -,1056,1560,1668,1886,C,'C' [Phillips' 11th ed 108/ 12th ed 376],
Dental Ceramics & Miscellaneous,40,The most toxic form of mercury is -,Methyl and ethyl mercury,Inorganic mercury forms,Mercury vapour,Mercury sulphide,A,"'A' [Phillips' 11th ed 198/ 12th ed 124]
Mercury occurs in 3 forms; metallic, inorganic and organic forms. Methyl and ethyl mercury are organic forms. Methyl mercury is the most toxic form of mercury and is efficiently absorbed from the gut (90 – 95%).",
Dental Ceramics & Miscellaneous,41,Which of the following releases single wavelength of energy?,QTH,PAC,LED,Argon lasers,D,"'D' [Phillips' 11th ed 412/ 12th ed 289]
Argon laser lamps have the highest intensity and emit a single wavelength (490 nm)

LED lamps emit radiation only in the blue part of the visible spectrum between 440 and 480 nm.

QTH lamps – They have quartz bulb with a tungsten filament that irradiates both UV and white light that must be filtered to remove heat and wavelengths except those in the violet-blue range (400-500 nm)

PAC lamps use xenon gas that is ionized to produce plasma. The high intensity white light is filtered to remove heat and to allow blue light (400-500 nm) to be emitted.",
Dental Ceramics & Miscellaneous,42,Ceramics fired to metals are processed by,Heat pressing,Machining,Sintering,Slip casting,C,"'C' [Phillips' 11th ed 671/ 12th ed 433]
Sintering is the process of firing the ceramic so that the particles of powder sinter together properly to form the prosthesis. ceramic fused to metal (PFM) is processed by sintering. Other methods of processing ceramics are:

| Processing method | Example of ceramic material |
|---|---|
| Hot pressing | IPS impress 2 |
| Casting | Dicor |
| Slip casting | Inceram spinal, Inceram Alumina, Inceram Zirconia |
| CAD / CAM | Cerecvitablocs, ceron lava |
| Copy milling | A variety of ceramic products |
| Sintering | PFM |",
Dental Ceramics & Miscellaneous,43,Clogging of an abrasive wheel with debris causing reduction of abrasive action is called,Blinding,Buffing,dressing,truing,A,"'A' [Phillips' 11th ed 364]
Abrasive binding:
Clogging of the abrasive instrument with debris.

Abrasive dressing:
• It reduces the instrument to its correct working size and shape.
• It is used to remove clogged debris from the abrasive instrument.

Truing:
Procedure through which the abrasive instrument is run against a harder abrasive block until the abrasive instrument rotates in the hand piece without eccentricity when placed on the substrate.",
Dental Ceramics & Miscellaneous,44,"When porcelain is baked against metal, it should possess a",high fusion expansion,high fusion temperature,"linear coefficient of thermal expansion less than, but close to that of metal","linear coefficient of thermal expansion greater than, but close to that of the metal",C,"'C' [Phillips' 11th ed 591]
• Linear coefficient of thermal expansion (α): If α_p > α_m then this temperature difference will create a large tensile hoop stresses causing crack propagation in the porcelain veneer.
• α_p > α_m compressive hoop stresses develop in porcelain which are better tolerated by porcelain as it got a very high compressive strength.",
Dental Ceramics & Miscellaneous,45,Major drawback of porcelain is,High compressive strength,Brittleness,Translucency,Hardness,B,"'B' [Phillips' 12th ed 439]
Porcelains are brittle in nature and have low tensile strength. They have no mechanism for yielding to stress without fracture unlike metals.

Also Refer explanation of Que No.2 for strengthening of porcelains.",
Dental Ceramics & Miscellaneous,46,Porcelain bonded to metal is strong when it is,Air fired,Tempered after firing,Fired under compression,Fired several times before completion,B,"'B' [Check Explanation Below]
Air firing and multiple firing induces more porosity. Vacuum firing, firing in diffusible gas atmosphere and cooling the fused porcelain (tempering) under pressure minimizes the porosity in porcelain.",
Dental Ceramics & Miscellaneous,47,Lithium disilicate containing crystals in ceramic crown are?,IPS Empress,Captek,Dicor,IPS Empress 2,D,"'D' [Phillips' 12th ed 447]
IPS Empress and IPS Empress 2 are Hot-Isostatically pressed (HIP) glass ceramics. They are indicated for anterior veneers.

IPS empress:
It is leucite based ceramic and contains 35% by volume of leucite. It is translucent and is indicated as anterior veneers.

IPS empress II:
It is lithia disilicate based ceramic and contains 65-70% by volume of lithia disilicate. This is used as core ceramic for crowns and bridges. It is opaque and has high flexural and fracture toughness than IPS Empress",
Dental Ceramics & Miscellaneous,48,Shrink free ceramic is known as?,Cerestore,Captek,IPS Empress,Dicor,A,'A' [Explanation of Q. No.11],
Dental Ceramics & Miscellaneous,49,"According to US FDA, the machine used for taking intraoral radiographs is classified as",Class-I,Class-II,Class-III,Class-IV,B,"'B' [Phillips 1st SA ed 120]
US FDA classified devices into three possible risk based classes.

| Class-I Low risk | General controls that exempt from 510(K). Eg:- dental burs, face bows and preformed crowns. |
|---|---|
| Class-II Moderate risk | Special controls that require 510(K) Eg:- Cavity varnish denture teeth impression materials, device for taking dental radiograph |
| Class-III High risk | Premarket approval of devices that must demonstrate safety and effectiveness without relying on a predicate device. Eg:- Dental implants. |",
Dental Ceramics & Miscellaneous,50,Regarding dispersion strengthening,Increasing the strength of ceramic by dispersing their matrix with the crystalline phase of the same material,The crystalline phase works by hindering the crack propagation,The strengthening is due to polymorphic transformation,CAD CAM procedures in these materials further decrease their surface flaws,B,'B' [Check Explanation of Q.No.2],
Dental Ceramics & Miscellaneous,51,Animal test to check the biocompatibility of dental material are all except,Buehler test,Implantation test,Ame's test,Sensitization test,C,"'C' [Phillips 1st SA ed 143]
Three types of tests are used to analyse the biocompatibility of dental materials.

1. Invitro tests:
The material or an extract of the material is placed in direct or indirect contact with some biological system outside of an organism. They are fast, inexpensive but lacks the ability to simulate complex interactions that exist in an organism between immune, inflammatory and circulatory system.
Eg:-Ames mutagenicity test, Cytotoxicity tests.

2. Animal tests:
Involves the placement of test material in an organism. These tests have the ability to permit an intact biological system to respond or interact with a material.",
Dental Ceramics & Miscellaneous,52,Which is used for etching porcelain?,9.6% HF,1.23% HF,37% HF,4% HF,A,'A' [Phillips' 11th ed 702/ 12th ed 441],
Dental Ceramics & Miscellaneous,53,What is true for fixed prosthesis?,It is difficult to remove prosthesis when cemented with cement having maximum compressive strength and low tensile strength,It is difficult to remove prosthesis when cemented with cement having maximum compressive strength and low shear strength,Cement is weakest phase in fixed prosthesis,Increased thickness of cement will cause less flaw compared to small thickness,C,'C' [PGI DEC-13],
Dental Ceramics & Miscellaneous,54,Metal oxides are added in porcelain provide all except,Strength,Improve bonding,Cosmetic,Impart colour,A,'A' [AIIMS MAY-14],
Dental Ceramics & Miscellaneous,55,Which of the following is not a natural abrasive,Arkansas stone,Pumice,Tripoli,Rouge,D,'D' [MHCET-15],
Dental Ceramics & Miscellaneous,56,Enamel is permeable to?,Bacteria,Bacterial product,Retroviruses,Peroxidase,D,'D' [PGI DEC-13],
Dental Ceramics & Miscellaneous,57,For air blasting of ceramic veneer the particle size of alumina is used,25 micrometer,50 micrometer,75 micrometer,100 micrometer,B,'B' [PGI DEC-13],
Dental Ceramics & Miscellaneous,58,Incorrect regarding boric oxide is incorporated in ceramics?,Forms glass phase,Increases viscosity of metal,Forms a separate lattice interspersed with the silica,It strengthen the surrounding structures,B,'B' [PGI DEC-13],
Dental Ceramics & Miscellaneous,59,The three types of abrasives used in dentistry can be classified as the following EXCEPT,Polishing abrasives,Finishing abrasives,Bleaching abrasives,Cleansing abrasives,C,'C' [COMEDK-2016],
Dental Ceramics & Miscellaneous,60,About glazing which is incorrect-,For self-glazing vacuum is not required,Glazing leads to better hygiene maintenance,Glazed porcelain is stronger than unglazed porcelain,Chemical stability of over glaze is less because of lower flux contents,D,'D' [AIIMS NOV- 2023],
