Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,3. BIOMECHANICS,72,Ni-Ti instruments are flexible because of their,Plasticity,Rigidity,Superelastcity,Hardness,c,"[Ingle 5th ed 487, Grossman 12th ed 233]"
Endodontics,3. BIOMECHANICS,73,Instrument having Shank with alternating cutting edges,Real world endo,"Endotech endo, instrument",RACE,K-6,c,"[Cohen 9th ed 312, Grossman 12th ed 235]
RACE (Reamer with alternating cutting edges)
â¢ Light microscopic imaging of the file shows twisted areas (a feature of conventional files) alternating with straight areas.
â¢ Cross sections are triangular or square for # 0.02 instruments with size # 15 and # 20 tips.
â¢ The lengths of cutting parts vary from 9-16mm.
â¢ Alternating cutting edges eliminate the screwing into the dentin.
â¢ Sharp cutting efficiency, combination of triangular section and alternating cutting edges ensures efficient evacuation of debris and safety tip ensures guidance/ centring in the canal."
Endodontics,3. BIOMECHANICS,74,All of the following may result in under filling of a root canal EXCEPT,Apical perforation,Edge formation,Short length estimation,Lateral perforation,a,[Ingle 6th ed 1123]
Endodontics,3. BIOMECHANICS,75,Electronic apex locator is used in Endodontics to determine the,Root canal morphology,Working length,Pulp stone Location,Pulp vitality,b,[Ingle 5th ed 517/Grossman 12th ed 249]
Endodontics,3. BIOMECHANICS,76,The most suitable instrument to remove gutta percha from the root canal is,barbed broach,peeso reamer,tapering fissure bur,round bur,b,[Ingle 6th ed 144/Grossman 12th ed 232]
Endodontics,3. BIOMECHANICS,77,"In Ingle's method of Endodontic working length determination, safety allowance is for",Possible image distortion or magnification,To confirm with apical termination,Periapical bone resorption,Recording final working length,a,"[Ingle 6th ed 929]
Safety allowance (done before working length x-ray) is the substraction of 1mm length from the diagnostic radiograph before taking the working length. This is for the possible image distortion or magnification in the diagnostic film. Safety allowance factor (done after WL x-ray) is adjusting working length 0.5-1mm to confirm the length to apical constriction"
Endodontics,3. BIOMECHANICS,78,The potentially hazardous irrigant causing an emergency during treatment is,Saliva,Chlorhexidine,Sodium Hypochlorite,Metrogyl,c,"[Grossman 12th ed 493]
Extrusion of sodium hypochlorine into periradicular tissues causes the following effects due to its tissue dissolving effect.
a) Immediate effects:
â¢ Swelling
â¢ Pain
â¢ Ecchymosis
b) Long term effects:
â¢ Parasthesia
â¢ Scarring
â¢ Muscle weakness
â¢ Extrusion of H2O2 causing tissue emphysema.
Treatment includes antibiotics, analgesics, intramuscular steriods and surgical intervention with wound debridement."
Endodontics,3. BIOMECHANICS,79,"In an endodontic file, D2 will be",At the tip of the instrument,At 2mm from the tip of the instrument,At 3mm from the tip of the instrument,At 16mm from the tip of the instrument,d,"[Grossman 12th ed 226]
Refer point No.6 under endodontic instruments in synopsis."
Endodontics,3. BIOMECHANICS,80,The file which has a non-cutting side is,K-files,Safety K-files,Hedstrom files,Safety Hedstrom files,d,"[Grossman 12th ed 230]
Modifications of H-files:
i) Safety hed stroem: It is H-file with a non cutting side in order to prevent ledging in curved canals.
ii) Hyflex file: It has 'S' shape cross section instead of single helix tear drop cross section of the H-file.
iii) Unifiles: It has double helix cross section. These are no longer used.
iv) S-file: It is a variation of unifile"
Endodontics,3. BIOMECHANICS,81,Most root canals that have not been instrumented are too narrow to be reached effectively by,Microbes,Disinfectants,Gutta percha,None of the above,b,[Grossman 12th ed 264]
Endodontics,3. BIOMECHANICS,82,Ultrasonic devices are instruments for the removal of dentin from root canal walls have proved to be,Effective,Disappointing,Lethal,None of the above,b,"[Grossman 12th ed 231]
Ultrasonic instrumentation never fulfilled clinical expectations as a primary method to prepare root canals. They were never predictable, effective of efficient as the conventional methods.
But ultrasonics are promising for:
â¢ Activating irrigants
â¢ Removal of smear layer
â¢ Removal of posts and silver points"
Endodontics,3. BIOMECHANICS,83,H type endodontic instrument has a spiral edge arranged to allow cutting during,Pushing stroke,Pulling stroke,Circular stroke,Oblong stroke,b,"[Grossman 12th ed 230]
H-type file machines the root canal wall when the instrument is pulled and has no cutting effect when pushed."
Endodontics,3. BIOMECHANICS,84,Ultrasonic devices operate at,25-30 KHz,35-40 KHz,2-3 KHz,5-10 KHz,a,"[Grossman 12th ed 230]
But in key both A and B were given as correct answers."
Endodontics,3. BIOMECHANICS,85,"When it is made up of same steel, size 55, which will be more prone to fracture:",Triangular reamer,Rhomboid cross section file,Square cross section file,Headstrom file,d,[Grossman 12th ed 230]
Endodontics,3. BIOMECHANICS,86,Taper present in 20 number GT file is,"0.06, 0.08, 0.10, 0.12","0.006, 0.008, 0.01, 0.012","0.6, 0.8, 1.0, 1.2","0.03, 0.04, 0.05, 0.06",a,"[Grossman 12th ed 234]
The profile GT set consists of 4 instruments, having tip size of 20, with taper 0.06, 0.08, 0.10 and 0.12 mm/ mm. 0.12 mm/mm taper is also available in sizes No. 35, No. 50 and No. 70."
Endodontics,3. BIOMECHANICS,87,In K-file the most common type of motion is,Watch winding,Linear,Rotating through 90Â° arch,Linear & clockwise,b,"[Grossman 12th ed 251]
Files are predominantly used with filling or rasping or push or pull action (linear) in which there is little or no rotation in the root canals.
â¢ Reaming: Motion involving clockwise rotation of instrument
â¢ Watch winding: Back and forth oscillation right and left. The angle of rotation is 30-60Â°C
â¢ Watch winding and pull: motion can be used with both file and reamer. But most common type of motion of K-file is push and pull (linear) motion. Used with H-files."
Endodontics,3. BIOMECHANICS,88,File commonly used for flaring of the canal in case of retreatment:,H-file,K-file,K-flex file,Lentulospiral,a,"[Cohen 8th ed 528, 888]
H-files remove large amount of dentin. The gutta-percha in the canal can be heated and H-files can be used to remove it in case of retreatment."
Endodontics,3. BIOMECHANICS,89,"In NiTi rotary electric handpiece, rotation should be",350-450,250-300,150-300,100-150,c,"[Grossman 12th ed 234]
The rotational speeds for various Ni-Ti instruments fall commonly under 150-300 RPM. Light speed rotary instrumentation system requires 750-2000 RPM."
Endodontics,3. BIOMECHANICS,90,"In order to complete a cutting circle of canal wall, the triangular shaft instrument requires:",One-fourth turn,One-third turn,One-half turn,One full turn,b,"[Practical dentistry by Balwant Rai Pg 17]
The cross sectional shape of the shaft of the instrument is important. The triangular shaft requires a one-third (120 degrees) rotation of the instrument to complete a cutting circle of the root canal wall. Square shaft required a one-fourth turn (90 degrees) to do the same task."
Endodontics,3. BIOMECHANICS,91,The significance of free eugenol in root canal sealar cements is an increase in:,Dimensional stability,Setting time,Cytotoxicity,Strength,c,"[Ingle 6th ed 1039/Cohen 10th ed 264]
Free eugenol always remains the mass of zinc oxide eugenol sealers. This contributes to cytotoxicity and irritation to the tissues if the free eugenol content increases in the mass."
Endodontics,3. BIOMECHANICS,92,The objectives of cleaning and shaping are all the following EXCEPT,To debride the root canal,To shape/contour the root canal walls,To aid condensation of an inert filling material,Should keep the apical foramen as small as practical,c,"[Grossman 12th ed 221, Nisha Garg 2nd ed 232]
Schilder objectives of cleaning and shaping of root canals:
a) Mechanical objectives:
â¢ Continuous tapering canal shape, with the narrowest cross-sectional diameter apically and the widest diameter coronally.
â¢ Walls should taper evenly towards apex
â¢ To give the prepared root canal the quality of flow.
â¢ Should keep the apical foramen as small as practical.
b) Biologic objectives:
â¢ To debride and disinfect root canal system
â¢ Necrotic debris should not be forced periapically
â¢ Sufficient space for intracanal medicaments and irrigants should be created."
Endodontics,3. BIOMECHANICS,93,"The commonly used root canal irrigant, which was used for irrigation wounds during world war 1 by Dakin is",Saline,Hydrogen peroxide,Buffered sodium hypochlorite,Distilled water,c,"[Ingle 6th ed 998]
Sodium hypochlorite:
â¢ It is used in concentrations varying from 0.5 to 7%
â¢ 2.5% and 5% are most commonly used.
â¢ Very potent antimicrobial agent
â¢ Effectively dissolves pulpal remnants
â¢ 0.5% Naocl which is buffered with a bicarbonate buffer is called Dakins solution. Unbuffered Naocl has a pH of 11, while buffered form has pH of 9
Disadvantages:
â¢ Inability to remove smear layer
â¢ Unpleasant taste
â¢ Toxicity"
Endodontics,3. BIOMECHANICS,94,Cleaning of files in between of endodontic treatment is done by:,Gauze soaked in hypochlorite solution,15 seconds in glass bead sterilizer,30 seconds in glass bead sterilizer,Chlorhexidine,a,"[Grossman 11th ed 196]
During instrumentation in the root canal, debris is often collected on the instruments. This debris can clog the flutes of the instruments and decrease their efficiency. This debris can be removed by squeezing the blade between the layers of gauze and turning the instrument counter clockwise."
Endodontics,3. BIOMECHANICS,95,"In root canal treatment, the canal orifices are located by:",Endodontic excavator,DG-16 Endodontic explorer,C+ file,H-file,b,"[Cohen 10 ed 156/ Grossman 12th ed 240]
Endodontic explorers have a long tip with a sharp point that is used to locate the opening of small canals (pathfinder) during endodontic procedures. They are made of spring tempered stainless steel so they retain their shape and resist breakage. Both tips of DG16 endodontic explorers are 16mm in length and set at different angles 45Â° and 70Â°. Jw 17 serves the same purpose but its thinner stiffer tip can be used for identifying calcified canals. A # 17 operative explorer is useful for detecting any remaining pulp chamber roof, particularly in the area of a pulp horn."
Endodontics,3. BIOMECHANICS,96,The number on the handle of a root canal instrument denotes,Length of the instrument in 1/10 of a millimetre,Length of the instrument in millimetres,Diameter at the tip in 1/100 of a millimetre,Diameter at the tip in 1/10 of a millimeter,c,[Grossman 12th ed 226]
Endodontics,3. BIOMECHANICS,97,File with R phase technology,Protaper,Wave one,Twisted,Race,c,[Check Synopsis]
Endodontics,3. BIOMECHANICS,98,Advaritage of NiTi over K-files?,Increased flexibility,Low resiliency,Resistance to breakage,Less expensive,a,"[Nisha Garg 3rd ed 157]
The shape memory and superelasticity contribute to the following advantages of NiTi over stainless steel.
Advantages:
â¢ More flexibility
â¢ Able to conform to canal curvature
â¢ Low modulus of elasticity
â¢ Good resiliency
â¢ Corrosion resistance
â¢ Softer than stainless steel
Disadvantages:
â¢ Poor cutting efficiency
â¢ Dot no show signs of deformation before they fracture
â¢ Less fracture resistance"
Endodontics,3. BIOMECHANICS,99,The primary principle of treating endodontic periapical lesions is,To eradicate irritants in the root canal system,To reduce the inflammation in the periapex,To maintain the health of the periodontium,To relieve the symptoms,a,"[Grossman 12th ed 121]
Check explanation of Q.No.92"
Endodontics,3. BIOMECHANICS,100,Instrument used for lateral condensation of guttapercha along the canal wall,Barbed broach,Plugger,Reamer,Spreader,d,"[Grossman 12th ed 284]
Spreaders are used for lateral condensation and pluggers are used for vertical condensation"
Endodontics,3. BIOMECHANICS,101,Instruments used for removal of lingual shoulder and enlarge orifices of a root canal are,Gates Glidden drills,Peeso reamers,Compactor,H File,a,"[Grossman 12th ed 232]
GG burs are used to remove the lingual shoulder in anterior teeth and enlarging the orifices of root canal. They provide straight light access to the initial point of curvature of root canal."
