"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Complete Denture","Teeth Setting and Articulators","10","A patient who wears complete denture is having trouble in pronouncing the letter 't'. This is probably caused by:","Too thick palatal seal area","Improper positioning of mandibular incisors","Incorrect position of maxillary incisors","Excessively thick mandibular base","C","'C' [Boucher's 12th ed 384]

Alveolar sounds such as 's', 'n', 'd', 't', 'z' are produced by contact of tip of tongue with anterior most part of palate or lingual side of anterior teeth.
If the teeth are too far anteriorly, the 'd' will sound like 't'. If the teeth are too far lingually, then the 't' will sound like 'd'.",""
"Complete Denture","Teeth Setting and Articulators","11","Porcelain denture teeth","Have a higher coefficient of thermal expansion than acrylic teeth","Have a lower abrasion resistance than enamel","Should be used where the inter alveolar clearance is small","Have a higher abrasion resistance than gold","D","'D' [Boucher's 12th ed 198]

Gold or silver alloy restorations wear away more rapidly than tooth enamel when opposed by porcelain denture teeth.",""
"Complete Denture","Teeth Setting and Articulators","12","The maxillary teeth if placed too far anteriorly and superiorly in a complete denture results in the faulty pronunciation of:","F and V sounds","S and T sounds","Vowels","Consonants","A","'A' [Boucher's 12th ed 383]

'A' [Boucher's 12th ed 383]",""
"Complete Denture","Teeth Setting and Articulators","13","Selective grinding for equilibrating complete dentures is best accomplished after processing when the dentures are:","Rearticulated using original jaw relation record","Rearticulated with a new series of jaw relation","Equilibrated in the patients mouth","Spot ground in the patients mouth","B","'B' [Boucher's 12th ed 405]

The dentures should be remounted on the articulator with new interocclusal records of centric and eccentric relations and then the occlusion is corrected by selective grinding.",""
"Complete Denture","Teeth Setting and Articulators","14","The concept of occlusion that maintains that the anteroposterior plane of occlusion should be parallel with the denture foundation and not dictated by the horizontal condylar guidance is called.","Lingualised concept","Balanced concept","Neutrocentric concept","Mutually protected concept","C","'C' [Winkler 2nd ed 233]

Refer to theories of occlusion in synopsis.",""
"Complete Denture","Teeth Setting and Articulators","15","On the articulator the incisal guidance is the","Horizontal guidance","Same as condylar guidance","Mechanical equivalent of curve of space","Mechanical equivalent of horizontal & vertical overlap","D","'D' [Boucher's 10th ed 445]

Incisal guidance angle is set by the dentist and this factor is influenced by amount of vertical and horizontal overlap.",""
"Complete Denture","Teeth Setting and Articulators","16","Discrepancies in the occlusion of a denture can be clearly detected from:","Observation of the denture in the mouth","Masticatory efficiency","Clicking sounds at Temporomandibular joint","Remounting procedures of the denture","D","'D' [Boucher's 12th ed 404]

'D' [Boucher's 12th ed 404]",""
"Complete Denture","Teeth Setting and Articulators","17","When establishing balanced occlusion, lingual cusps of maxillary posterior teeth on the non-working side should contact:","Facial incline of the lingual cusp of mandibular posterior teeth","The lingual incline of the lingual cusp of mandibular posterior teeth","Lingual incline of the facial cusp of mandibular posterior teeth","Central fossa of mandibular posterior teeth","C","'C' [Boucher's 12th ed 320]

Refer to occlusion in synopsis.",""
"Complete Denture","Teeth Setting and Articulators","18","The cuspal inclines of the maxillary buccal cusps and the mandibular lingual cusps should be grounded if they are in deflective occlusal contact in:","Working position only","Balancing position only","Both working and balancing positions","Central position","A","'A' [Winkler 2nd ed 258-260]

This is known as BULL's law. Refer to synopsis.",""
"Complete Denture","Teeth Setting and Articulators","19","Bilateral balanced occlusion is:","Balance in working lateral and protrusive contacts","Balance in lateral contacts only","Balance in working, balancing and protrusive contacts","Balance in protrusive contacts only","C","'C' [Boucher's 10th ed 503]

'C' [Boucher's 10th ed 503]",""
"Complete Denture","Teeth Setting and Articulators","20","Bennett angle is:","The angle between sagittal condylar path and Frankfort horizontal","The angle which the path of balancing side condyle makes with the sagittal plane during lateral excursion","Measured by using a face bow","None of the above","B","'B' [Boucher's 10th ed 495 / Winkler 2nd ed 159]

'B' [Boucher's 10th ed 495 / Winkler 2nd ed 159]",""
"Complete Denture","Teeth Setting and Articulators","21","Of the three dimensions of color, the one which describes the dominant color of the object is:","Hue","Value","Chroma","Maverick","A","'A' [Boucher's 10th ed 338]

Hue is the specific colour produced by specific wavelength of light. It must be in harmony with colour of patients face.",""
"Complete Denture","Teeth Setting and Articulators","22","Best esthetics for a maxillary denture is when:","Anterior teeth are placed on the crest of Alveolar","Teeth are placed lingual to the crest of alveolar ridge","Teeth are placed facial to alveolar ridge","Teeth articulate with mandibular anterior teeth placed over the crest of the ridge","C","'C' [Boucher's 12th ed 315]

If the teeth are set directly over the residual ridge it results in prematurely aged appearance. The setting mainly depends on amount of ridge resorption (longer edentulous period), the teeth should be placed far anteriorly.",""
"Complete Denture","Teeth Setting and Articulators","23","Sibilant sounds are produced at:","Rest position","Occluding position","Open from resting position","Between rest and occluding position","D","'D' [Boucher's 12th ed 381]

While speaking sibilant sounds like 'S', 'Z', 'Sh', 'Zh', 'Ch' and 'J' the upper and lower incisors should approach end to end but not touch. Most people make the 'S' sound with the tip of tongue against rugae area with small space for air escape. If the space is too small, a whistle will result. If the space is too broad, lisping will result and the 'S' sound is developed as 'Sh'.",""
"Complete Denture","Teeth Setting and Articulators","24","In the development of balanced occlusion of a complete denture, during tooth arrangement, a steep condylar path is associated with a low degree of incisal guidance, this requires that the compensating curve should be;","Flat","Shallow","Prominent","Reverse","C","'C' [Check Explanation Below]

Thielemann's formula:
Balanced occlusion = (CG x IG) / (CC x CI x OO) where
• CG = Condylar guidance
• IG = Incisal guidance
• CC = Compensating curves
• CI = Inclination of cusps
• OO = Plane of orientation of the occlusal plane

Thus when the condylar guidance is increased, compensatory curve should be increased to make balanced occlusion.",""
"Complete Denture","Teeth Setting and Articulators","25","Resin teeth:","Show a high compressive strength","Contraindicated in patients with decreased interocclusal distance","Show crazing","Show a high fracture strength","D","'D' [Phillip's 12th ed 496]

Resin teeth display greater impact resistance and ductility and are less likely to chip or fracture when compared to porcelain.",""
"Complete Denture","Teeth Setting and Articulators","26","The condylar guidance of an articulator is dependent on:","The depth of the glenoid fossa","The vertical overlap of the incisors","The cuspal inclines","The inclination of the articular eminence","D","'D' [Boucher's 12th ed 337, 338]

'D' [Boucher's 12th ed 337, 338]",""
"Complete Denture","Teeth Setting and Articulators","27","Will's gauge is used to measure","Vertical height","Bi-zygomatic width","Inter condylar distance","Inter papillary width","A","'A' [Winkler 2nd ed 191]

Will's gauge is used to measure vertical height of face. It is an instrument that enables the approximate angle at which it is applied to the face to be reproduced during denture construction.
Boley gauge is used to record the measurements between the borders of maxillary and mandibular dentures, when both the dentures are in occlusion.
Boos Bimeter is a device that measures the maximum force of jaw.",""
"Complete Denture","Teeth Setting and Articulators","28","Lingually placed mandibular posteriors will cause all except","Gagging","Speech difficulties","Excessive pressure on ridge","Tongue interference","C","'C' [Winkler 2nd ed 226, 324]

Lingual cusps of molars are in alignment with mylohyoid ridge.
Placing too far lingually can cause the following:
• Gagging
• Lack of tongue room posteriorly in the mandibular denture may cause speech difficulties
• Tongue interference",""
"Complete Denture","Teeth Setting and Articulators","29","'Squint' test is used as guide for selecting","Shade of teeth","Shape of teeth","Length of teeth","None of the above","A","'A' [Boucher's 10th ed 341]

The squint test is helpful in evaluating colour of teeth with the complexion of face. With the eyelids partially closed to reduce light, the colours of artificial teeth held along the face of patient are compared. The colour that fades from view first is least conspicuous one in comparison to colour of face.",""
"Complete Denture","Teeth Setting and Articulators","30","The function of compensating curve is","To provide balanced occlusion in complete dentures when mandible is protruded","To aid in establishing an incisal guide","Same as function of curve of Spee","None of the above","A","'A' [Boucher's 10th ed 462]

Compensating curves are the artificial curves introduced into dentures in order to facilitate the production of balanced occlusion.",""
"Complete Denture","Teeth Setting and Articulators","31","The characteristic of an 'Arcon' articulator is:","The condylar elements are placed on the upper member of the articulator","The condylar elements are placed on the lower member of the articulator","The condylar elements are non-movable","The inclination of condylar path is in a curved plane","B","'B' [Winkler's 2nd ed 147]

'B' [Winkler's 2nd ed 147]",""
"Complete Denture","Teeth Setting and Articulators","32","Recontouring and selective grinding procedures are carried out in complete denture to:","Decrease the vertical dimension of occlusion","Decrease cuspal height","Enhance curve of Spee","Remove occlusal disharmony","D","'D' [Boucher's 12th ed 324]

'D' [Boucher's 12th ed 324]",""
"Complete Denture","Teeth Setting and Articulators","33","A high occlusal contact occurs in the balancing position between the lingual cusp of maxillary 1st molar and the buccal cusp of mandibular 1st molar. To eliminate this which surface should be reduced:","Lingual cusp of maxillary 1st molar and buccal cusp of mandibular 1st molar","Either lingual cusp of maxillary 1st molar or buccal cusp of mandibular 1st molar","Lingual cusp of maxillary 1st molar with milling paste at the time of denture insertion","Lingual cusp of maxillary 1st molar in centric and occluding position","B","'B' [Winkler's 2nd ed 262]

'B' [Winkler's 2nd ed 262]",""
"Complete Denture","Teeth Setting and Articulators","34","Bizygomatic width divided by 3.3 gives approximately","Mesio-distal width of lower anterior teeth","Mesio-distal width of upper anterior teeth","Mesio-distal width of upper teeth from molar to molar","Mesio-distal width of lower teeth from molar to molar","B","'B' [Boucher's 10th ed 333]

'B' [Boucher's 10th ed 333]",""
"Complete Denture","Teeth Setting and Articulators","35","The best criterion for teeth selection is:","Past photographs","Pre extraction records","Study models","None of the above","B","'B' [Boucher's 12th ed 302]

The extracted teeth are valuable for size and form selection, but should not be used for colour selection, because the colour of the tooth will change after extraction.",""
"Complete Denture","Teeth Setting and Articulators","36","Chroma is:","Intensity of colour","Translucency of enamel","Translucency of enamel & dentin","None of the above","A","'A' [Boucher's 10th ed 338]

Chroma or saturation is the amount of colour per unit area of an object. Because of change in saturation levels, some teeth appear more yellower than other teeth.",""
"Complete Denture","Teeth Setting and Articulators","37","Curve of Monson is","An anteroposterior curve","Is a lateral molar curve with convexity facing downwards","Is a lateral premolar curve with convexity facing upwards","A reverse curve","B","'B' [Winkler 2nd ed]

'B' [Refer to occlusion in synopsis]",""
"Complete Denture","Teeth Setting and Articulators","38","A reliable guide for positioning maxillary anterior teeth in complete dentures is","Fovea palatine","Incisive papillae","Maxillary ridge","Rugae","B","'B' [Boucher's 12th ed 309]

The labial surfaces of central incisors are usually 8 to 10mm in front of the incisive papilla (COMEDK-08). The distance will vary with the size of teeth and resorption of the alveolar process. If the resorption occurs vertically, the incisive papilla moves distally and the distance between the papilla to the teeth is increased.
Resorption of bone labially causes the papilla to appear on the labio occlusal surface of the ridge and the anterior teeth must be set in front corresponding to the amount of change in the bone.",""
"Complete Denture","Teeth Setting and Articulators","39","When there is a prematurity in centric occlusion but not in eccentric or other movements then reduce:","Cusps of opposing teeth","Mesiodistal position of teeth","Opposing fossa or marginal ridge","None of the above","C","'C' [Boucher's 10th ed 500]

Cusps of teeth should be reduced only when the interference is in both centric and eccentric position. Prematurities in centric position only require the reduction of opposing central fossae or marginal ridge.",""
"Complete Denture","Teeth Setting and Articulators","40","Lateral shift (Bennett's movement) influences:","Faciolingual position of teeth","Mesiodistal position of the teeth","Both of the above","None of the above","A","'A' [Refer synopsis]

'A' [Refer synopsis]",""
"Complete Denture","Teeth Setting and Articulators","41","The term ARCON was coined by","Bergstrom","Hanau","Gillis","Fish","A","'A' [Winkler 2nd ed 147]

The term 'Arcon' indicates an instrument that has its condyles on the lower member and the condylar guides on the upper member. Bergstrom derived the name Arcon from articulator and Condyle.",""
"Complete Denture","Teeth Setting and Articulators","42","Bennett movement is","Direct lateral side shift of the mandible that occurs simultaneously with lateral mandibular excursion","Direct lateral side shift of the mandible that occurs simultaneously with medial mandibular excursion","Direct medial side shift with medial mandibular excursion","Direct lateral side shift with medial mandibular excursion","A","'A' [Boucher's 10th ed 259, 449]

According to Gysi, the average bennet shift is 1-1.5 mm/side and the bennet angle is 15 degrees.",""
"Complete Denture","Teeth Setting and Articulators","43","Central incisor tooth arrangement in tapering arch is","Rotation of incisors on their long axis inward at the distal aspect","Rotation of incisors on their long axis inward at the facial aspect","Rotation of incisors on their long axis inward at the mesial aspect","Central incisors almost in a straight line","A","'A' [Boucher's 12th ed 364]

'A' [Boucher's 12th ed 364]",""
"Complete Denture","Teeth Setting and Articulators","44","Palatal cusp of upper posterior teeth in complete denture patients should fall on:","Crest of mandibular ridge","Lingual to crest of mandibular ridge","Buccal to crest of mandibular ridge","Buccal vestibule","A","'A' [Boucher's 12th ed 317 / Winkler 2nd ed 254]

In normal occlusion, the palatal cusps of the maxillary posterior teeth shall occlude with the central fossa of lower teeth which in turn would be in line with the crest of mandibular ridge.",""
"Complete Denture","Teeth Setting and Articulators","45","When testing arrangement of teeth at the trial insertion of complete dentures, the lower lip should, when pronounce the letter 'f' in fifty","Be anterior to maxillary incisors","Not come near maxillary incisors","Light contact maxillary incisors incisal edge","None of the above","C","'C' [Boucher's 12th ed 383]

The labio dental sounds 'f' and 'v' are made between the incisal edges of upper incisors and the posterior 3rd of lower lip.
If the upper anterior teeth are too short or set too high up, the 'v' sound will be more like 'f'. If they are too long or set too far down, the 'f' will sound more like a 'v' (BHU-07).

In complete denture patients, f and v sound is used for determining (PGI Dec-2013)
a) Freeway space  b) Closest speaking space  c) Anteroposterior relation of maxillary and mandibular teeth  d) Labiolingual position of mandibular teeth.",""
"Complete Denture","Teeth Setting and Articulators","46","Bucco-lingual width of posterior teeth should be","Equal to the width of the natural teeth they replace","Greater than the width of the natural teeth they replace","Lesser than the width of the natural teeth they replace","Width of artificial posterior teeth is a matter of operator's preference","C","'C' [Boucher's 12th ed 307]

Artificial posterior teeth that are narrow in a buccolingual direction enhance the development of correct form of polished surfaces of denture and also reduce the amount of stress on the supporting tissues.",""
"Complete Denture","Teeth Setting and Articulators","47","In complete denture construction labio-dental sound F & V are used to determine the:","Vertical placement of upper anterior teeth","Labio-lingual position of anterior teeth","Anterio posterior position of anterior teeth","Space between tongue and anterior part of hard palate","A","'A' [Boucher's 12th ed 383]

'A' [Boucher's 12th ed 383]",""
"Complete Denture","Teeth Setting and Articulators","48","The inner vermilion border of the lower lip traps air against the inner edges of maxillary incisors during the pronunciation of the letter","C","F","Z","S","B","'B' [Check Explanation of Q. No 45]

'B' [Check Explanation of Q. No 45]",""
"Complete Denture","Teeth Setting and Articulators","49","In complete denture setting, for better aesthetics, the maxillary anteriors are set","Parallel to the middle of the face profile","Parallel to the profile of the lower of the face","Skeletal profile has no role in aesthetic teeth setting","Parallel to the inner canthus-angle of the mouth line","D","'D' [Boucher's 12th ed 365]

'D' [Boucher's 12th ed 365]",""
"Complete Denture","Teeth Setting and Articulators","50","Mark the consonant sounds requiring contact between the lips and teeth (labio dentals)","G, d, l, t, h","'b', 'p', 'm'","'th'","'f', 'ph', 'v'","D","'D' [Boucher's 12th ed 383]

'D' [Boucher's 12th ed 383]",""
"Complete Denture","Teeth Setting and Articulators","51","One of the following rules explains about the grinding of certain cusps to produce balance in lateral movements:","Ante's rule","Bull rule","Wolf's rule","Cieszynski's rule","B","'B' [Boucher's 10th ed 500]

'B' [Boucher's 10th ed 500]",""
"Complete Denture","Teeth Setting and Articulators","52","True about Wilson curve is?","Anterior-posterior curve","Helps in achieving compensating curve during arrangement of posteriors","Posterior teeth parallel to inward pull of masseter","Determine posterior plane of occlusion","B","'B' [Refer Synopsis]

'B' [Refer Synopsis]",""
"Complete Denture","Teeth Setting and Articulators","53","Proper lip support for complete denture is provided primarily by","Convex surface of labial flange","Facial surface of teeth and simulated gingiva","Thickness of border in the vestibule","Festooned carvings on facial surface","B","'B' [Boucher's 12th ed 365]

'B' [Boucher's 12th ed 365]",""
"Complete Denture","Teeth Setting and Articulators","54","Leon William's classification given an idea about","Number of teeth and size of the arch","Residual alveolar ridge","Form of tooth and face","Colour of artificial teeth","C","'C' [Boucher's 10th ed 336]

'C' [Boucher's 10th ed 336]",""
"Complete Denture","Teeth Setting and Articulators","55","The incisal guidance that assures the maximum stability in a denture is","15-25 degrees","Zero degrees","Less than 15 degrees","65 degrees","B","'B' [Boucher's 12th ed 294, 295]

The more closely the incisal guide angle approaches 0°, the more stable will be the dentures because of the reduction of lateral inclines.",""
"Complete Denture","Teeth Setting and Articulators","56","During Bennett movement","Condyle of working side exhibits bodily forward movement","Condyle of non working side exhibit bodily lateral movement","Condyle of working side exhibit bodily lateral movement","Condyle of working side exhibit bodily lateral and forward movement","C","'C' [Nallaswamy 1st ed 111]

'C' [Nallaswamy 1st ed 111]",""
"Complete Denture","Teeth Setting and Articulators","57","Balanced occlusion with noncuspal teeth is achieved by","Compensating curves","Incisal guide","Balancing ramps","None","A","'A' [Boucher's 12th ed 318]

Non-cuspal or non-anatomic teeth can be used in a balanced occlusion scheme by incorporating compensating curve.",""
"Complete Denture","Teeth Setting and Articulators","58","Which of the following is utmost important factor considered in balanced occlusion with little change in esthetics and change in inclination or amplitude leads to the loss of facial appearance?","Inclination of condyle guidance","Compensating curve of Spee","Inclination of incisal guidance","Cuspal height and angulation","C","'C' [Nallaswamy 1st ed 193]

• First factor of occlusion.
• Only factor, which can be recorded from the patient.
• It is registered using protrusive registration.
• Increase in the condylar guidance will increase the jaw separation during protrusion.

• Second factor of occlusion.
• It should be set depending upon the desired overject and overbite planned for the patient.
• It has more influence on the posterior teeth than the condylar guidance.

• It is established anteriorly by the height of the lower canine and posteriorly by the height of the retromolar and Campers line

• Posterior teeth should be arranged such that their occlusal surfaces form a curve.
• This curve should be in harmony with the mandibular movements.
• Two Types - Anteroposterior curves and lateral curves.

• The cusps on the teeth or the inclination of the cuspless teeth are important factors that modify the effect of plane of occlusion and compensating curves.","Diagram: Table showing Condylar guidance, Incisal guidance, Plane of orientation, Compensating curve, Cuspal angulation – Page 18"
"Complete Denture","Teeth Setting and Articulators","59","Spherical theory is proposed by","Bonwill","Monson","Hall","Hanau","B","'B' [Nallaswamy 1st ed 155]

'B' [Nallaswamy 1st ed 155]",""
"Complete Denture","Teeth Setting and Articulators","60","In Bonwill's equilateral triangle the apex of triangle is located at","The anterior part of incisive papilla","At the prominent part of chin upper central","At the anteriormost part of incisor","At the anteriormost part of lower central incisor","D","'D' [Nallaswamy 1st ed 154]

'D' [Nallaswamy 1st ed 154]",""
"Complete Denture","Teeth Setting and Articulators","61","The term 'chroma aspect' in selection of artificial teeth refers to","Degree of saturation of hue","Intensity of value","Both value and hue","None of the above","A","'A' [Nallaswamy 1st ed 176]

'A' [Nallaswamy 1st ed 176]",""
"Complete Denture","Teeth Setting and Articulators","62","For balanced occlusion, when condylar inclination is increased the compensating curve should be","Shallow","Decreased and flat","Increased and prominent","Reversed","C","'C' [Nallaswamy 1st ed 19]

For explanation, refer Q. No. 24.",""
"Complete Denture","Teeth Setting and Articulators","63","Best esthetics for a maxillary denture is when:","Anterior teeth are placed on the crest of alveolar ridge","Teeth are placed lingual to the crest of alveolar ridge","Teeth are placed facial to alveolar ridge","Teeth articulate with mandibular anterior teeth placed over the crest of the ridge","C","'C' [Fenn 1st ed 298]

'C' [Fenn 1st ed 298]",""
"Complete Denture","Teeth Setting and Articulators","64","While pronouncing S, T, D, N, Z sounds tip of tongue","Anterior 2/3rd of palate","Maxillary canines","Inner 2/3rd of lower lip","Does not make any contact","A","'A' [Boucher 12th ed 384]

'A' [Boucher 12th ed 384]",""
"Complete Denture","Teeth Setting and Articulators","65","The zero degree anatomic teeth is used in:","Sharp ridge","Flat ridge","Ridge with undercut","Well contoured ridge","B","'B' [Boucher 10th ed 454, 455]

'B' [Boucher 10th ed 454, 455]",""
"Complete Denture","Teeth Setting and Articulators","66","Anatomic teeth should have cusp angle of","30°","31°","32°","33°","D","'D' [Nallaswamy 1st ed 8]

'D' [Nallaswamy 1st ed 8]

Teeth Angulation:
• Anatomic: 20°, 30°, 33°
• Non anatomic/monoplane: 0°",""
"Complete Denture","Teeth Setting and Articulators","67","The theory of matching teeth to face forms was advanced by","Hanau","Frush and Fisher","J. Leon Williams","Schiffman","C","'C' [Nallaswamy 1st ed 172]

Leon Williams in 1917 formulated the Typal form theory according to which, the shape of the teeth should be in the shape of the face.",""
"Complete Denture","Teeth Setting and Articulators","68","The hinge joint articulator was designed by:","Bonwill","Gariot","Gysi","Hanau","B","'B' [Winkler 2nd ed 143]

Hinge-Joint articulator is representative of class I articulators. It was designed by Gariot in 1805. It consisted of a simple hinge with a set screw in the posterior against a metal plate to serve as a vertical stop.",""
"Complete Denture","Teeth Setting and Articulators","69","Which type of articulators that permit horizontal as well as vertical motion but do not orient the motion to the TMJ via a face bow transfer?","Type I","Type II","Type III","Type IV","B","'B' [Refer synopsis / Winkler 2nd ed 143]

'B' [Refer synopsis / Winkler 2nd ed 143]",""
"Complete Denture","Teeth Setting and Articulators","70","Non-anatomic teeth are indicated in:","Flat ridge","Knife-edge ridge","Poor muscular control","All the above","D","'D' [Winkler 2nd ed 262-265]

Indications of non-anatomic or cuspless teeth are:
• Flat atrophic ridges
• Knife-edge ridges
• Large interridge space
• Milling type of chewing pattern with broad excursions
• Where debilitation has reduced the patients coordination needed to handle a cusped type of occlusion
• In patients with bruxism to decrease the forces on the basal tissues.
• Patient with neuromuscular disorders where accurate jaw relations cannot be recorded.
• In case of highly resorbed ridge, as they do not get locked or displace the denture during function.
• Difficulty in consistently returning to the centric jaw relation (Eg. Parkinsonism)
• Existing dentures with very worn teeth that have permitted unrestricted jaw movements",""
"Complete Denture","Teeth Setting and Articulators","71","Trubyte tooth indicator is used for determining:","Length of the tooth","Width of the tooth","Thickness of the tooth","Form of the tooth","D","'D' [The dental clinics of North America - Complete dentures - Volume 40 - No.1 - Jan 1996 Pg 75]

The trubyte tooth indicator to determine the size of the upper central incisor (mesiodistal and cervico-incisal length) using trubyte tooth indicator, one can also determine the facial form of a patient i.e., square, tapering and ovoid and thus the tooth forms based on J. Leon Williams classification.",""
"Complete Denture","Teeth Setting and Articulators","72","The incisive papilla in the edentulous maxillary arch acts as a guideline to proper placement of the maxillary central incisors. The central incisors are generally found to be mm anterior to a line bisecting the incisive papilla:","8 to 10 mm","6 to 8 mm","4 to 6 mm","5 to 7 mm","A","'A' [Winkler 2nd ed 207]

'A' [Winkler 2nd ed 207]",""
"Complete Denture","Teeth Setting and Articulators","73","The most important factor in arrangement of the teeth:","Mold","Leverage","Occlusion","Occlusal plane","C","'C' [Rudd and marrow complete denture laboratory procedures 2nd ed 222]

'C' [Rudd and marrow complete denture laboratory procedures 2nd ed 222]",""
"Complete Denture","Teeth Setting and Articulators","74","Mono plane teeth are indicated in:","When centric relation only transferred","Centric and eccentric relation only transferred","Patient with old denture which is severely attrited and cusp height reduced","Depends on dentist selection","C","'C' [Winkler 2nd ed 263]

'C' [Winkler 2nd ed 263]",""
"Complete Denture","Teeth Setting and Articulators","75","Changes in length of upper anterior teeth in complete denture teeth setting which sounds are affected:","f, v","d, t","dentoalveolar sounds","b, p","A","'A' [Boucher 12th ed 383 / Ref. Q. No. 45]

'A' [Boucher 12th ed 383 / Ref. Q. No. 45]",""
"Complete Denture","Teeth Setting and Articulators","76","The labiodental sounds are","f, v, ph","v, c","d, t","f, v, z","A","'A' [Nallaswamy 1st ed 220]

'A' [Nallaswamy 1st ed 220 / Refer synopsis Point No. 104]",""
"Complete Denture","Teeth Setting and Articulators","77","Resin teeth are","High in fracture toughness","Dimensionally stable","Not indicated with diminished inter arch distance","Susceptible to crazing with time","A","'A' [Nallaswamy 1st ed 197]

Resin teeth have higher resiliency and are tougher than porcelain teeth, making them less liable to fracture or chipping on impact.",""
"Complete Denture","Teeth Setting and Articulators","78","The Apex of the Bonwill's Triangle is located at the?","Anterior tip of the incisive papilla","Upper central incisors contact point","Anterior most point on the chin","Lower central incisors contact point","D","'D' [Nallaswamy 1st ed 154]

Refer synopsis Point No. 91",""
"Complete Denture","Teeth Setting and Articulators","79","The advantage of resin teeth over porcelain teeth is","Greater wear resistance","Increased hardness","Better dimensional stability","Greater impact resistance","D","'D' [Philips 11th ed 755]

'D' [Philips 11th ed 755]",""
"Complete Denture","Teeth Setting and Articulators","80","Bi-zygomatic width divide by 16 gives approximately mesiodistal width of","Upper central incisor","Lower central incisor","Upper anterior teeth","Lower anterior teeth","A","'A' [Nallaswamy 1st ed 171]

'A' [Nallaswamy 1st ed 171]",""
"Complete Denture","Teeth Setting and Articulators","81","Complete denture teeth are in edge to edge contact in centric occlusion. What should be done?","Grind the centric holding cusp","Grind the lingual fossa of upper and lower incisors","Grind the cusp in such a way that the incline of the upper cusp slides buccally and lower cusp slides lingually","Grind the cusp in such a way that the incline of the upper cusp slides lingually and lower cusp slides buccally","C","'C' [Synopsis Point No. 105]

The upper and lower teeth can be too nearly end to end. For correction of this error, grinding is done on the inclines of the cusps in such a way to move the upper cusp inclines buccally and lower cusp inclines lingually. In this, the central fossa are made broader, the lingual cusp of the upper tooth is made narrow by grinding it from the lingual side, and the buccal cusp of the lower tooth is made more narrow by grinding it from the buccal side. The cusps are not shortened.",""
"Complete Denture","Teeth Setting and Articulators","82","Hanau H2 articulator has a intercondylar distance of","90 mm","100 mm","110 mm","120 mm","C","'C' [Winkler 2nd ed 156]

Hanau-H2 is a Non-Arcon articulator, has a fixed intercondylar distance of 110mm and does accept a face-bow transfer.",""
"Complete Denture","Teeth Setting and Articulators","83","The intercondylar distance can be adjusted in the","Hanau H2 articulator","Hanau arcon H2 articulator","Whipmix articulator","Mean/value articulator","C","'C' [Winkler 2nd ed 156, 161, 166]

Intercondylar distance is adjustable in Whip-mix (arcon) articulator in 3 positions:
• Small (S) - 96 mm
• Medium (M) - 110 mm
• Large (L) - 124 mm

Hanau H2 (Non arcon), Hanau arcon H2, mean value articulators, Denar Mark II (Arcon) have fixed intercondylar distance of 110 mm.",""
"Complete Denture","Teeth Setting and Articulators","84","The overbite-overjet relations of anterior teeth are determined primarily by esthetics and","Phonetics","Mastication","Pouting","Modiolus","A","'A' [Winkler 2nd ed 207]

'A' [Winkler 2nd ed 207]",""
"Complete Denture","Teeth Setting and Articulators","85","Non arcon instruments gained considerable popularity in complete denture prosthodontics because upper and lower members are","Loosely attached","Rigidly attached","Medially attached","Inferiorly attached","B","'B' [Winkler 2nd ed 156]

In non Arcon, the upper and lower members are attached rigidly (mechanically) to each other. These are the most commonly used articulators. But Arcon articulators are superior over non-arcon because of the ability to visualize condylar movements.",""
"Complete Denture","Teeth Setting and Articulators","86","For highly visible gingiva, it is advisable to select","Conical teeth and short contact areas","Conical teeth and long contact areas","Square teeth and short contact point","None of the above","D","'D' [Zarb and Bolendar 12th ed 303]

If the patient prefers for highly visible gingiva, then select square teeth with a long contact point rather than highly tapered teeth. This will minimize the interproximal display of pink gingival acrylic.",""
"Complete Denture","Teeth Setting and Articulators","87","The concavity at the root of the nose is used as a third point of reference with","Whipmix average axis facebow","Hanau","Dentatus","Kavo","A","'A' [Winkler 2nd ed 168]

• In Whipmix articulator the bridge of the nose is utilized as the anterior reference point (third point) with the ear piece face-bow.
• The two posterior reference points are the external auditory canals.",""
"Complete Denture","Teeth Setting and Articulators","88","The antero posterior curve is","Curve of Spee","Curve of Wilson","Curve of Monson","Bonwill curve","A","'A' [Bhalaji 5th ed 71]

Refer synopsis.",""
"Complete Denture","Teeth Setting and Articulators","89","Transfer of hinge opening axis is compulsory in:","Partially edentulous","Complete edentulous","Orthodontics","Planning to change vertical dimensions","D","'D' [Nallaswamy 1st ed 535 / Winkler 2nd ed 185]

Hinge axis is an imaginary line passing through the centre of the condyles when the mandible rotates in the sagittal plane. The axis of rotation which coincides with the CR position of the mandible is called true hinge axis.
Patient's hinge axis can be transferred into the articulator (semiadjustable or fully adjustable) with the help of face bow.
A face bow transfer is essential when cusp teeth are used and also to change the occlusal vertical dimensions.
Arbitrary mounting of maxillary casts without a face bow transfer can introduce errors in occlusion of prosthesis. So transferring the hinge axis is must when we are planning for full mouth rehabilitation and in patients who require increase in vertical dimension.",""
